SMILES,Binary Activity
[O-][N+](=O)C1=CC=C(Cl)C=C1,1
OC1=CC=C(C=C1)[N+]([O-])=O,1
ClC(=O)C1=CC=C(C=C1)C(Cl)=O,1
CCN(CC)CCN,1
CCN(CC)CCO,1
BrCC1=CC=CC=C1,1
C=CC1CCC=CC1,1
CCC1=CC=CC=C1,1
C=CC1=CC=CC=C1,1
C=CC1=CC=NC=C1,1
ClCC1=CC=CC=C1,1
NCC1=CC=CC=C1,1
N#CC1=CC=CC=C1,1
OCC1=CC=CC=C1,1
O=CC1=CC=CC=C1,1
N#CC1=CN=CC=C1,1
CNC1CCCCC1,1
CNC1=CC=CC=C1,1
NNC1=CC=CC=C1,1
ON=C1CCCCC1,1
CSC1=CC=CC=C1,1
C=CC1=NC=CC=C1,1
CCN1CCOCC1,1
C1N2CN3CN1CN(C2)C3,1
CC1=CC(=O)NO1,1
COC1=C(Cl)C=CC(Cl)=C1C(O)=O,1
CCCC1CO1,1
CC1=C(OC=N1)C#N,1
ClCC=CCl,1
CCC(CO)(CO)C(O)=O,1
O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,1
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,1
NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,1
NC1=C(C=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,1
NC1=CC=C(NC2=CC=CC=C2)C=C1,1
CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,1
C1CCC(CC1)NC1CCCCC1,1
O(C1=CC=CC=C1)C1=CC=CC=C1,1
C(OC1=CC(OCC2CO2)=CC=C1)C1CO1,1
CCC(C)NC1=CC=C(NC(C)CC)C=C1,1
CN(C)CC1=C(Cl)C=CC=C1,1
N=C(NC1=CC=CC=C1)NC1=CC=CC=C1,1
COB1OB(OC)OB(OC)O1,1
ClC1=C(Cl)C=C(C=C1)N=C=O,1
[CH]1C=CC=C1,1
CCCN(CCC)CCC,1
C=CCN(CC=C)CC=C,1
C1CN(CCO1)SC1=NC2=C(S1)C=CC=C2,1
CCCCN(CCO)CCCC,1
CCCCN(CCCC)CCCC,1
OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
NC(=O)C(Br)(Br)C#N,1
CC(=O)CCCCCl,1
OC(CNC1CCCCC1)CS(O)(=O)=O,1
COP(N)(=O)SC,1
CN(C)CCOC(=O)C1=C(C=CC=C1)N=NC1=CC=C(O)C(N=NC2=C(C=CC=C2)C(=O)OCCN(C)C)=C1O,1
CCCCC(CC)COC(=O)C=C,1
CC(=O)OCCC1=CC=CC=C1,1
CCNC1=CC=CC=C1,1
OCCC1=NC=CC=C1,1
CN(C)CC1=CC=CC=C1,1
CC(=O)NC1=CC=CC=C1,1
CCCCCCOCC(O)CO,1
OCC(O)COC1CCCCC1,1
CP(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,1
