"Fragment","Sum(True Positives)","Sum(False Positives)"
"N(-C-C-C-C-C-C-C-C-C-C-C-C)(-C)-C",25.0,1.0
"P(-S)-O-C",22.0,1.0
"O1-C-C(-C-C-1)-C",22.0,1.0
"N(-C-C(-O)-C)(-C-C-C)-C",10.0,0.0
"n1(:n:c:n:c:1)-C-C",9.0,0.0
"[Si](-Cl)(-Cl)-C",9.0,0.0
"P(-O-C-C)(-O-C-C)=S",8.0,0.0
"P(-C-C-C)-C",8.0,0.0
"N(-O)(-c1:c:c(:c:c(:c:1)-C)-N(-O)=O)=O",11.0,1.0
"S(-N(-C)-C)-N-C",7.0,0.0
"S(-O)(-C-C-C-C)=O",7.0,0.0
"N(-C-C-C-N-C(-C-C-C-C-C-C-C-C-C)=O)(-C)-C",7.0,0.0
"Cl-C-C=O",32.0,7.0
"N(-C)=C=O",28.0,6.0
"O(-C(-C1-C(-C-1)-C)=O)-C",10.0,1.0
"O(-C=O)-C=O",17.0,3.0
"S(-O)(-C-C-O-C-C-C)(=O)=O",6.0,0.0
"N(-C-C-C-N)-C-C-C-N",6.0,0.0
"S(-O)(-c1:c:c(:c:c:c:1)-N(-O)=O)(=O)=O",6.0,0.0
"Cl-c1:n:c(:n:c:n:1)-N-c1:c:c:c:c:c:1",5.0,0.0
"n1:c(:n:c:n:c:1-N-C)-N-C-C-C",5.0,0.0
"Cl-c1:c:c(:c:c(:c:1)-N)-Cl",5.0,0.0
"P(-O)(-O)(-C-N-C-C)=O",5.0,0.0
"S(-Cl)(=O)=O",5.0,0.0
"N-C(-C-O)-C-O",8.0,1.0
"N(-O)=C-C",15.0,3.0
"N1-C(-C-C-C-C-1)-C",15.0,3.0
"Cl-c1:c(:c:c:c(:c:1)-Cl)-O-C-C-O",4.0,0.0
"Cl-c1:c(:c:c:c:c:1)-C(-O)-C",4.0,0.0
"Cl-c1:c:c:c(:c:c:1)-C-Cl",4.0,0.0
"P(-N)-O-c1:c:c:c:c:c:1",4.0,0.0
"n1:c(:c(:c:c:c:1)-C-O)-C",4.0,0.0
"Cl-c1:c(:n:c:c:c:1)-C",4.0,0.0
"O1-C(-C-1)-C-O-C(-C)=O",4.0,0.0
"S(-N=C=O)(-C)(=O)=O",4.0,0.0
"S(-O-C)(-O-C)=O",4.0,0.0
"S-C(-O-C-C)=S",4.0,0.0
"S1-C-N-C-C-1",4.0,0.0
"n1:o:c:c:c:1",4.0,0.0
"O-C(-C(-C-O)-C)=O",7.0,1.0
"N(-C)(-C)=C",7.0,1.0
"S(-C=C)(-C)(=O)=O",6.0,1.0
"Cl-C(-Cl)-C-Cl",9.0,2.0
"N(-C-C-N-C)-C-C-N",5.0,1.0
"N1(-C(-c2:c(-C-1=O):c:c:c:c:2)=O)-C-C",5.0,1.0
"P(-O-C-C-C-C)(-O-C-C-C-C)=O",5.0,1.0
"O(-c1:c(:c:c:c:c:1)-C)-C-C=O",5.0,1.0
"S(-O-C-C-C-C-C-C)(-O)(=O)=O",5.0,1.0
"Cl-c1:c:c(:c:c(:c:1)-Cl)-Cl",5.0,1.0
"n1:n:c:c(:c:1)-C",4.0,1.0
"O(-C(-C=C)=O)-C-C(-C-O-C(-C=C)=O)(-C)-C",4.0,1.0
"n1:c(:n:c:n:c:1-N-C-C)-N-C-C",4.0,1.0
"N(-C(-O-c1:c:c:c:c:c:1)=O)-C",4.0,1.0
"N(-c1:c:c:c:c:c:1)-C(-N-C)=N",4.0,1.0
"S(-c1:c:c:c(:c:c:1)-C=O)-C",4.0,1.0
"N#C-c1:c:c:c(:c:c:1)-O",4.0,1.0
"n1:c(:n:c:c:c:1-C)-N",4.0,1.0
"F-C(-F)-C(-F)-C=O",4.0,1.0
"P(-O)(-C-C-C-C)=O",4.0,1.0
"N1-C-C-N=C-1-C",4.0,1.0
"s1:n:c:c:c:1",4.0,1.0
"N#C-C(-O)-C",4.0,1.0
"Br-C-C-Br",4.0,1.0
