CASRN,SMILES
80-26-2,CC(=O)OC(C)(C)C1CCC(C)=CC1
109-88-6,[Mg++].C[O-].C[O-]
325855-90-1,CCCCCCCCC(CCCCCC)COC1=CC=C(C=C1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(NC(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1Cl
120-55-8,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
682-11-1,CCC(CO)(CO)COCC=C
16891-37-5,[Mg++].CCOC([O-])=O.CCOC([O-])=O
29736-24-1,[Na+].[Na+].OC(C([O-])=O)S([O-])(=O)=O
7778-80-5,[K+].[K+].[O-]S([O-])(=O)=O
667-84-5,CCOCCCNC(=O)C(O)C(C)(C)CO
521284-22-0,Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1
34454-97-2,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
60924-38-1,C[C@@H]1CCC23CCC(=O)[C@H]2C1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)COS(C)(=O)=O
15432-85-6,[Na+].O=[Sb-](=O)=O
34451-26-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS
93-84-5,[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1
126213-50-1,C1COC2=CSC=C2O1
53201-62-0,OC1=CC=C(C=C1)C(=O)OC1=CC=C(OC(=O)C2=CC=C(O)C=C2)C=C1
1314-98-3,[S--].[Zn++]
1182722-58-2,N[C@@H]1CCC2=C(C1)C1=CC=CC=C1N2CCC(O)=O
54660-00-3,O=C1NC(=C2C(=O)NC(=C12)C1=CC=CC=C1)C1=CC=CC=C1
444065-11-6,CCOC(=O)CN(CC(=O)OCC)C(=O)OC1=C(C#N)C(C(=O)OC2C(CC(C)CC2C(C)(C)C)C(C)(C)C)=C2NC(=NN12)C1=CC=C(C=C1)C(C)(C)C
25485-88-5,OC1=C(C=CC=C1)C(=O)OC1CCCCC1
12060-58-1,O=[Sm]O[Sm]=O
25340-17-4,"CC*.CCC1=CC=CC=C1 |c:6,8,t:4,m:2:6.7.8|"
117-81-7,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC
393-85-1,COC(=O)C1=C(C=CC(F)=C1)[N+]([O-])=O
117172-56-2,CO[Si](CCCS)(OC)OC.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
65870-97-5,CC(CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C
145650-60-8,CCOP(OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C)OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C
2814-77-9,OC1=C(N=NC2=CC=C(C=C2Cl)[N+]([O-])=O)C2=C(C=CC=C2)C=C1
5580-58-5,CC(=O)C(N=NC1=C(Cl)C=CC(=C1)C(=O)NC1=CC(Cl)=CC=C1C)C(=O)NC1=CC(Cl)=C(NC(=O)C(N=NC2=C(Cl)C=CC(=C2)C(=O)NC2=CC(Cl)=CC=C2C)C(C)=O)C=C1Cl
94-13-3,CCCOC(=O)C1=CC=C(O)C=C1
2055396-18-2,[K+].[Fe+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
611-06-3,[O-][N+](=O)C1=CC=C(Cl)C=C1Cl
2568-90-3,CCCCOCOCCCC
123-68-2,CCCCCC(=O)OCC=C
1303-00-0,[Ga]#[As]
361442-00-4,CC(C)(C)OC(=O)N[C@H](C(O)=O)C12CC3CC(CC(O)(C3)C1)C2
89452-37-9,F[Sb-](F)(F)(F)(F)F.F[Sb-](F)(F)(F)(F)F.S(C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1
3578-72-1,[Ca++].CCCCCCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCCCCCC([O-])=O
56-12-2,NCCCC(O)=O
