CASRN,Canonical_QSARr
80-26-2,CC1CCC(CC=1)C(C)(C)OC(C)=O
109-88-6,CO
325855-90-1,CCCCCCCCC(COC1C=CC(=CC=1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(C=C1Cl)NC(=O)C1C=C(Cl)C(Cl)=CC=1)CCCCCC
120-55-8,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
682-11-1,CCC(COCC=C)(CO)CO
16891-37-5,CCOC(O)=O
29736-24-1,OC(C(O)=O)S(O)(=O)=O
667-84-5,CCOCCCNC(=O)C(O)C(C)(C)CO
521284-22-0,NC1=CC=C(CCNCC(O)C2C=CC=CC=2)C=C1
34454-97-2,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
60924-38-1,CC1(CC(OC(=O)COS(C)(=O)=O)C2(C)C3C(=O)CCC3(CCC2C)C(C)C1O)C=C
34451-26-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS
93-84-5,[O-][N+](=O)C1C=C2NC(=O)NC2=CC=1
126213-50-1,C1COC2=CSC=C2O1
53201-62-0,OC1C=CC(=CC=1)C(=O)OC1C=CC(=CC=1)OC(=O)C1C=CC(O)=CC=1
1182722-58-2,NC1CC2C3=CC=CC=C3N(CCC(O)=O)C=2CC1
54660-00-3,O=C1N=C(C2C1=C(NC2=O)C1C=CC=CC=1)C1C=CC=CC=1
444065-11-6,CC1CC(C(OC(=O)C2C(C#N)=C(OC(=O)N(CC(=O)OCC)CC(=O)OCC)N3N=C(NC3=2)C2C=CC(=CC=2)C(C)(C)C)C(C1)C(C)(C)C)C(C)(C)C
25485-88-5,OC1C=CC=CC=1C(=O)OC1CCCCC1
117-81-7,CCCCC(COC(=O)C1C=CC=CC=1C(=O)OCC(CCCC)CC)CC
393-85-1,COC(=O)C1C=C(F)C=CC=1[N+]([O-])=O
65870-97-5,CC(C)(C)CC(C)CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C
145650-60-8,CCOP(OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C)OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C
2814-77-9,[O-][N+](=O)C1C=C(Cl)C(=CC=1)N=NC1=C(O)C=CC2C=CC=CC=21
5580-58-5,CC(=O)C(N=NC1C=C(C=CC=1Cl)C(=O)NC1=CC(Cl)=CC=C1C)C(=O)NC1=CC(Cl)=C(C=C1Cl)NC(=O)C(N=NC1C=C(C=CC=1Cl)C(=O)NC1=CC(Cl)=CC=C1C)C(C)=O
94-13-3,CCCOC(=O)C1C=CC(O)=CC=1
2055396-18-2,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(O)=O
611-06-3,[O-][N+](=O)C1=CC=C(Cl)C=C1Cl
2568-90-3,CCCCOCOCCCC
123-68-2,CCCCCC(=O)OCC=C
361442-00-4,CC(C)(C)OC(=O)NC(C(O)=O)C12CC3(O)CC(C1)CC(C3)C2
89452-37-9,C1=CC(=CC=C1S(C1C=CC=CC=1)C1C=CC=CC=1)SC1C=CC(=CC=1)S(C1C=CC=CC=1)C1C=CC=CC=1
3578-72-1,CCCCCCCCCCCCCCCCCCCCCC(O)=O
56-12-2,NCCCC(O)=O
10429-07-9,CC1C=CC(=CC=1)S(=O)(=O)OC1CCC2(C)C3CCC4(C)C(CCC4=O)C3CCC2C1
89-39-4,COC1C=CC(=CC=1[N+]([O-])=O)OC
2920-38-9,N#CC1C=CC(=CC=1)C1C=CC=CC=1
6485-40-1,CC1=CCC(CC1=O)C(C)=C
682-09-7,CCC(CO)(COCC=C)COCC=C
62-33-9,OC(=O)CN(CC(O)=O)CCN(CC(O)=O)CC(O)=O
1298086-15-3,CCOC1C=CC(=CC=1)C(OCC1C=CC=CC=1)C1C=C(Br)C=CC=1Cl
120-46-7,O=C(CC(=O)C1C=CC=CC=1)C1C=CC=CC=1
122-72-5,CC(=O)OCCCC1C=CC=CC=1
56-86-0,NC(CCC(O)=O)C(O)=O
104-20-1,CC(=O)CCC1=CC=C(C=C1)OC
6528-34-3,CC(=O)C(N=NC1C=CC(=CC=1[N+]([O-])=O)OC)C(=O)NC1C=CC=CC=1OC
498-15-7,CC1CC2C(CC=1)C2(C)C
38632-47-2,OS(=O)(=O)C(=O)NCCCCCCNC(=O)S(O)(=O)=O
1054448-65-5,CCCCCCS(=O)(=O)C1C=C(C(=CC=1)NC1C=CC2=C3C(=C(C(=O)C4C=C(C=CC=4)S(O)(=O)=O)C(=O)N2C)C2C=CC=CC=2C(=O)C=13)S(O)(=O)=O
37441-29-5,NC1C(I)=C(C(I)=C(C=1I)C(=O)Cl)C(=O)Cl
4062-46-8,CC(=O)OC1CCC2C3CCC4CC(=O)CC(C)C4(C)C3CCC12C
2495-39-8,C=CCS(O)(=O)=O
2210-79-9,CC1=CC=CC=C1OCC1CO1
71294-03-6,O=C1CC2C=CC=C(F)C=2N1
13040-19-2,CCCCCCC(O)CC=CCCCCCCCC(O)=O
14858-73-2,CCCCC(COC(=O)OCC(CCCC)CC)CC
208709-55-1,CCCCOC1C=CC(C2CCC(CCC)CC2)=C(F)C=1F
49701-24-8,CNS(=O)(=O)C1C=C(OC)C(N)=CC=1OC
124-12-9,CCCCCCCC#N
1370711-06-0,CC(C)C(CC)OC(=O)C=CC
165184-98-5,CCCCCCC(C=O)=CC1C=CC=CC=1
66170-10-3,OC1C(OC(=O)C=1OP(O)(O)=O)C(O)CO
324763-46-4,CC(C)C(CC1C=CC(OC)=C(C=1)OCCCOC)CC(N=[N+]=[N-])C1CC(C(C)C)C(=O)O1
3344-18-1,OC(=O)C(O)(CC(O)=O)CC(O)=O
138495-42-8,FC(F)(F)C(F)C(F)C(F)(F)C(F)(F)F
5510-99-6,CC(CC)C1=CC=CC(C(C)CC)=C1O
26364-65-8,N#CNC1=NCCS1
203448-76-4,CC(C)CC(C)C1C=CC=CC=1N
81-13-0,CC(C)(CO)C(O)C(=O)NCCCO
256473-04-8,FC(F)(F)COC1=CC=CN=C1Cl
922165-31-9,CCOCCOCCOC(=O)C1CCC(CC1)C(=O)OCCOCCOCC
31775-16-3,CC(=O)C(N=NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(C=C1)N=NC(C(=O)NC1C=CC(=CC=1)OC)C(C)=O)C(=O)NC1C=CC(=CC=1)OC
194602-23-8,CN1CCN(CC1)S(=O)(=O)C1=CC(C(O)=O)=C(C=C1)OCC
1131-18-6,CC1C=C(N)N(N=1)C1C=CC=CC=1
74351-78-3,CC1C=C(NC(=O)C(N=NC2=CC(=CC=C2Cl)C(O)=O)C(C)=O)C(C)=CC=1NC(=O)C(N=NC1=CC(=CC=C1Cl)C(O)=O)C(C)=O
108-05-4,CC(=O)OC=C
337906-36-2,COCC1C=C(N)C=CC=1N
109-69-3,CCCCCl
1400584-86-2,COC1CCC2(CC1)NC(=O)NC2=O
1064076-86-3,CC(C)(F)CC(NC(C1C=CC(=CC=1)C1C=CC(=CC=1)S(C)(=O)=O)C(F)(F)F)C(O)=O
64696-98-6,N#CC(N=CC1C=CC=CC=1O)=C(C#N)N=CC1C=CC=CC=1O
35948-25-5,O=P1OC2C=CC=CC=2C2C=CC=CC1=2
92878-95-0,COC1C=CC(=CC=1OCCCCl)[N+]([O-])=O
32764-98-0,CC=CCCC1CCCC(=O)O1
1604-35-9,CC(C)CCCC(C)CCCC(C)(O)C#C
1035204-85-3,CC(C)(C)OC(=O)CC1CC(CCN2C(=C(C(=C2C(C)C)C(=O)NC2C=CC=CC=2)C2C=CC=CC=2)C2C=CC(F)=CC=2)OC2(CCCC2)O1
1383692-20-3,COC1N=C(N=C(N=1)OC)C1=C(O)N(C2C1=CC=CC=2F)S(=O)(=O)C(F)F
496-46-8,O=C1NC2NC(=O)NC2N1
17270-01-8,O=P(OC1C=CC(=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1)(OC1C=CC=CC=1)OC1C=CC=CC=1
18171-19-2,C[Si](CCCCl)(OC)OC
