Molecule name,RowID,Original_SMILES,Error
Molecule_181,181,CC1(C)CC(CC(C)(C)N1C)N(CCCC)C1N=C(N=C(N=1)N(CCN(CCCNC1N=C(N=C(N=1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)C1=NC(=NC(=N1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)CCCNC1N=C(N=C(N=1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1, Size
Molecule_696,696,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S([O-])(=O)=O)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1, Size
Molecule_315,315,CC(C)C(=O)O[Zr](OC(=O)C(C)C)(OC(=O)C(C)C)OC(=O)C(C)C, Organometallics
Molecule_478,478,[Cr]#C[Cr]C#[Cr], Organometallics
Molecule_487,487,O[Cu]OC(=O)O[Cu]O, Organometallics
Molecule_492,492,CCCCO[Sn](CCCC)(CCCC)OCCCC, Organometallics
Molecule_593,593,C1CO[Sb]2OCCO[Sb](O1)OCCO2, Organometallics
Molecule_599,599,C[Sn](C)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_677,677,O=C1O[Mn]OC1=O, Organometallics
Molecule_835,835,ClC1C2C(=C3N=C4N=C(N=C5C6=C(C7=NC8=NC(=NC=2N3[Cu]N75)C2=C8C(Br)=C(Cl)C(Cl)=C2Cl)C(Cl)=C(Br)C(Cl)=C6Br)C2=C4C(Cl)=C(Cl)C(Br)=C2Cl)C(Br)=C(Cl)C=1Br, Organometallics
Molecule_868,868,CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1021,1021,CCCCCCCC[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1064,1064,O[Bi]1OC2=CC=CC=C2C(=O)O1, Organometallics
Molecule_1087,1087,CCCCC(COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CCCC)CC)CC, Organometallics
Molecule_1091,1091,C[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1092,1092,CCCC[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1129,1129,O[Zr](=O)OC(=O)O[Zr](O)=O, Organometallics
Molecule_1159,1159,CCCC[Sn](CCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_1344,1344,CCCC[Sn](CCCC)(SCCCCCCCCCCCC)SCCCCCCCCCCCC, Organometallics
Molecule_1486,1486,CC1C=[C-](C=C1)[Mn+]([C-]#[O+])([C-]#[O+])[C-]#[O+], Organometallics
Molecule_1533,1533,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC, Organometallics
Molecule_1586,1586,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC, Organometallics
Molecule_1623,1623,CC[Al](CC)CC, Organometallics
Molecule_1801,1801,CCCC[Sn]1(CCCC)OC(=O)C=CC(=O)O1, Organometallics
Molecule_506,506,O.CCCCCCCCCCCCCCCCCC(=O)O[AlH]OC(=O)C1C=CC=CC=1, Organometallics
Molecule_1195,1195,[Na+].[Na+].[Na+].[Na+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N, Organometallics
Molecule_24,24,CCC1C=CC=CC=1.CC%91.[*]%91, Mixture
Molecule_27,27,CC1(C)CC(CC(C)(C1)CN=C=O)N=C=O.CO[Si](CCCS)(OC)OC, Mixture
Molecule_259,259,[H+].[Cr+3].CCCCC(COCCCN)CC.[O-]C1C=C(C=CC=1N=NC1C2=CC=CC=C2C=CC=1[O-])[N+]([O-])=O.[O-]C1C=CC2=CC=CC=C2C=1N=NC1C=C(C=CC=1[O-])[N+]([O-])=O, Mixture
Molecule_507,507,[Cu+2].C[N+](C)(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC.[O-]S(=O)(=O)C1C=C2C3[N-]C(=NC4=NC(=NC5[N-]C(N=C6N=C(N=3)C3=CC=CC=C36)=C3C=CC=CC3=5)C3=CC=CC=C34)C2=CC=1, Mixture
Molecule_614,614,[Zn+2].CCCCCCCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCCCCC([O-])=O, Mixture
Molecule_651,651,C%91.CC(CC#N)CC(C)C#N.[*]%91, Mixture
Molecule_701,701,[Na+].[Na+].[Na+].[Cr+3].C=CS(=O)(=O)C1C=CC(=CC=1)NC1N=C(Cl)N=C(NC2=CC3=CC(=C(N=NC4=CC(=CC=C4[O-])[N+]([O-])=O)C([O-])=C3C=C2)S([O-])(=O)=O)N=1.[O-]S(=O)(=O)C1C=CC(N=NC2=C3C=CC=CC3=CC=C2[O-])=C2C=CC(=CC=12)[N+]([O-])=O, Mixture
Molecule_748,748,CCCC[N+](CC1C=CC=CC=1)(CCCC)CCCC.[O-]S(=O)(=O)C1=CC=C(O)C2=CC=CC=C12, Mixture
Molecule_781,781,CCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCC.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_875,875,C%91.C%92.O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1.[*]%91.[*]%92, Mixture
Molecule_926,926,[Sn+4].[CH2-]CCCCCCC.[CH2-]CCCCCCC.CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O, Mixture
Molecule_949,949,[*]C1C=CC=CC=1.C1=CC=CC=C1C1C=CC=CC=1, Mixture
Molecule_1017,1017,[NH2+]=C(NC1C=CC=CC=1)NC1C=CC=CC=1.[O-]S(=O)(=O)C1=CC(=CC=C1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1, Mixture
Molecule_1270,1270,NCCCCCCN.OC(=O)CCCCCCCCC(O)=O, Mixture
Molecule_1337,1337,OC(=O)C1=CC(=C(C=C1C(O)=O)C(O)=O)C(O)=O.C1CNC(=N1)C1C=CC=CC=1.C1CNC(=N1)C1C=CC=CC=1, Mixture
Molecule_1454,1454,[Al+3].[Al+3].NC1=CC(=CC2=CC(=C(N=NC3C=CC=CC=3)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O.NC1C=C(C=C2C=C(C(N=NC3C=CC=CC=3)=C(O)C=12)S([O-])(=O)=O)S([O-])(=O)=O.NC1C=C(C=C2C=C(C(N=NC3C=CC=CC=3)=C(O)C=12)S([O-])(=O)=O)S([O-])(=O)=O, Mixture
Molecule_1461,1461,CCCCCCCCOC(=O)C1C=CC=CC=1C(=O)OCCCCCCCC.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_1544,1544,OC(=O)C1=CC(=C(C=C1C(O)=O)C(O)=O)C(O)=O.C1CN=C(N1)C1C=CC=CC=1, Mixture
Molecule_1592,1592,[Ba+2].CCC1C=C(N=NC2=C3C=CC=CC3=CC=C2O)C(=CC=1Cl)S([O-])(=O)=O.CCC1=CC(N=NC2=C3C=CC=CC3=CC=C2O)=C(C=C1Cl)S([O-])(=O)=O, Mixture
Molecule_1608,1608,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1C=CC(=C2C=C(C=C(O)C2=1)S([O-])(=O)=O)S([O-])(=O)=O.[O-]S(=O)(=O)C1C=CC(=CC=1)N=NC1C=CC=C2C=C(C=CC2=1)S([O-])(=O)=O, Mixture
Molecule_1619,1619,CC[N+](CC)(CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F, Mixture
Molecule_1641,1641,[Cu+2].CCN(CC%91)CC.CCN(CC%92)CC.CCN(CC%93)CC.[*]%91.[*]%93.[*]%92.C1=CC=CC2=C3[N-]C(N=C4N=C(N=C5[N-]C(=NC6=NC(=N3)C3=CC=CC=C36)C3=CC=CC=C35)C3=CC=CC=C34)=C21, Mixture
Molecule_1732,1732,COCCOCCO.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_1748,1748,[H+].[Cr+3].CCCCC(CN)CC.CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC=CC=C1C([O-])=O.CC1=NN(C2C=CC=CC=2)C(=O)[C-]1N=NC1=CC=CC=C1C([O-])=O, Mixture
Molecule_1866,1866,CC(=C)C(=O)OCCCCCCCCC.C%91.[*]%91, Mixture
Molecule_1924,1924,C[Sn](SCC(=O)OCCCCCCC)(SCC(=O)OCCCCCCC)SCC(=O)OCCCCCCC.C%91.C%92.C%93.[*]%91.[*]%92.[*]%93, Mixture
Molecule_1934,1934,CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCCCCCCC)SCC(=O)OCCCCCCC.C%91.C%92.[*]%91.[*]%92, Mixture
Molecule_8,8,[K+].[K+].[O-]S([O-])(=O)=O, Inorganic
Molecule_13,13,[Na+].O=[Sb-](=O)=O, Inorganic
Molecule_18,18,[S-2].[Zn+2], Inorganic
Molecule_23,23,O=[Sm]O[Sm]=O, Inorganic
Molecule_37,37,[Ga]#[As], Inorganic
Molecule_70,70,[OH-].[OH-].[OH-].[Co+3], Inorganic
Molecule_73,73,[Mg+2].[Mg+2].[Mg+2].[K+].[K+].[K+].[K+].[O-][Ti]([O-])=O.[O-][Ti]([O-])([O-])[O-], Inorganic
Molecule_80,80,[Na+].[Na+].[Na+].[Na+].[Na+].[O-]P(=O)(OP([O-])([O-])=O)OP([O-])([O-])=O, Inorganic
Molecule_83,83,[Cu], Inorganic
Molecule_111,111,[O-2].[O-2].[O-2].[O-2].[K+].[K+].[Mo+6], Inorganic
Molecule_116,116,[NH4+].O=[Re-](=O)(=O)=O, Inorganic
Molecule_128,128,[BiH3], Inorganic
Molecule_147,147,[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Mo+6], Inorganic
Molecule_167,167,O=[Nd]O[Nd]=O, Inorganic
Molecule_173,173,O[Bi](O)O, Inorganic
Molecule_177,177,N#[Al], Inorganic
Molecule_182,182,[NH4+].[NH4+].[NH4+].[NH4+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+2]=O.O=[Mo+4].O=[Mo+4], Inorganic
Molecule_189,189,[Na+].[Na+].[O-]P(O)(=O)OP([O-])(O)=O, Inorganic
Molecule_205,205,[Al+3].[K+].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_209,209,[O-2].[Mn+2], Inorganic
Molecule_239,239,[Na+].[Na+].[Na+].[Na+].[O-]P([O-])(=O)OP([O-])([O-])=O, Inorganic
Molecule_241,241,[O-2].[O-2].[O-2].[O-2].[V+5].[Ce+3], Inorganic
Molecule_244,244,[Ba+2].[O-]S([O-])(=O)=O, Inorganic
Molecule_245,245,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Mo+6].[Mo+6].[Mo+6], Inorganic
Molecule_273,273,[F-].[F-].[Mg+2].[Mg+2].[Mg+2].[K+].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O.O=[Al+], Inorganic
Molecule_285,285,[Mo], Inorganic
Molecule_286,286,[H+].[H+].O=[Mo-2](=O)(=O)=O, Inorganic
Molecule_291,291,[Mn], Inorganic
Molecule_305,305,[O-2].[O-2].[O-2].[O-2].[O-2].[Ta+5].[Ta+5], Inorganic
Molecule_324,324,[Cl-].[Cl-].[Cl-].[Fe+3], Inorganic
Molecule_336,336,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[Y+3].[Y+3].[Y+3], Inorganic
Molecule_338,338,[S] |^3:0|, Inorganic
Molecule_361,361,[Na+].[Na+].[O-]P([O-])(=O)F, Inorganic
Molecule_363,363,Cl[Cr](Cl)Cl, Inorganic
Molecule_377,377,[NH4+].[Mg+2].[O-]P([O-])([O-])=O, Inorganic
Molecule_388,388,[NH4+].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O, Inorganic
Molecule_411,411,[Sr+2].[O-][Ti]([O-])=O, Inorganic
