CASRN,SMILES
51581-32-9,CN(C)C(=O)OC1=CN=CC=C1
35155-28-3,[H][C@]1(CO)CN(C)[C@]2([H])CC3=CN(C)C4=CC=CC(=C34)C2(C1)OC
289-95-2,C1=CN=CN=C1
77-78-1,COS(=O)(=O)OC
80-73-9,CN1CCN(C)C1=O
610-81-1,NC1=C(C=C(O)C=C1)[N+]([O-])=O
13531-52-7,NCCCNCCN
894-86-0,[Na+].[Na+].[O-]C1=C(NC2=CC=CC=C12)C1=C([O-])C2=CC=CC=C2N1
56962-04-0,OC1=CC(Cl)=CC(Br)=C1
110-86-1,C1=CC=NC=C1
3794-83-0,[Na+].[Na+].[Na+].[Na+].CC(O)(P([O-])([O-])=O)P([O-])([O-])=O
765-69-5,CC1C(=O)CCC1=O
1300-72-7,"C*.C*.OS(=O)(=O)C1=CC=CC=C1 |c:8,10,t:6,lp:4:2,6:2,7:2,m:1:9.10,3:10.11.12.13|"
5538-41-0,CC1=CC(O)=C(Cl)C(C)=C1
62435-71-6,CCOCC1CCCO1
9002-92-0,"CCCCCCCCCCCCOCCO |lp:12:2,15:2,Sg:n:14,13,12::ht|"
5274-68-0,CCCCCCCCCCCCOCCOCCOCCOCCO
109-73-9,CCCCN
4156-21-2,[Na+].[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1
14024-48-7,CC1=[O][Co++]2([O]=C(C)[CH-]1)[O]=C(C)[CH-]C(C)=[O]2
16891-37-5,[Mg++].CCOC([O-])=O.CCOC([O-])=O
37971-36-1,OC(=O)CCC(CC(O)=O)(C(O)=O)P(O)(O)=O
92585-24-5,CC(CO)CC(C)C1=CC=CC=C1
30007-47-7,[O-][N+](=O)C1(Br)COCOC1
1369773-39-6,[Ca++].CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC([O-])=O.CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC([O-])=O
107-15-3,NCCN
557-34-6,[Zn++].CC([O-])=O.CC([O-])=O
268567-32-4,CC(C)COP(=S)(OCC(C)C)SCC(C)C(O)=O
7778-80-5,[K+].[K+].[O-]S([O-])(=O)=O
521284-22-0,Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1
123439-82-7,N.N.N.N.[Pt++].OC([O-])=O.OC([O-])=O
159325-45-8,C[C@]12CCC3C(CCC4C[C@@H]5O[C@@H]5C[C@]34C)C1C[C@H](N1CCCC1)C2=O
40150-92-3,CC(C)CC1=CC=C(C=C1)C(C)O
815676-09-6,CC1=CC(NC2=CC=C(C=C2)S(O)(=O)=O)=NC(NC2=CC=C(C=C2)S(O)(=O)=O)=C1C#N
97780-06-8,CCOC1=NC(NC)=NC(NC(=O)NS(=O)(=O)C2=C(C=CC=C2)C(=O)OC)=N1
12054-48-7,[OH-].[OH-].[Ni++]
15687-27-1,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
66654-01-1,CN(C)CCCNC(=O)CCCCCCCCC=C
84592-32-5,[Br-].CC(=CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C=CC1=C(C)C(=O)C(O)CC1(C)C
502-97-6,O=C1COC(=O)CO1
5153-24-2,CC(=O)O[Zr](=O)OC(C)=O
5343-92-0,CCCC(O)CO
1774-47-6,[I-].C[S+](C)(C)=O
1761-71-3,NC1CCC(CC2CCC(N)CC2)CC1
22256-71-9,C1CCC(CC1)NC1CCCCC1.CCCCCCCC\C=C/CCCCCCCC(O)=O
110-62-3,CCCCC=O
105-06-6,C=CC1=CC=C(C=C)C=C1
1314-98-3,[S--].[Zn++]
79-22-1,COC(Cl)=O
107-18-6,OCC=C
117-34-0,OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
