Molecule name,RowID,Original_SMILES,Error
Molecule_117,117,CC1(C)CC(CC(C)(C)N1)N(CCCC)C1=NC(=NC(=N1)N(CCCCCCN(C1CC(C)(C)NC(C)(C)C1)C1=NC(=NC(=N1)N(CCCC)C1CC(C)(C)NC(C)(C)C1)N(CCCC)C1CC(C)(C)NC(C)(C)C1)C1CC(C)(C)NC(C)(C)C1)N(CCCC)C1CC(C)(C)NC(C)(C)C1, Size
Molecule_3485,3485,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC2=CC(=CC=C2C(O)=C1N=NC1C=CC(=CC=1S([O-])(=O)=O)N=NC1C=CC(=CC=1)S([O-])(=O)=O)NC1=NC(Cl)=NC(NC2C=CC(=CC=2)NC2N=C(Cl)N=C(NC3C=C4C=C(C(N=NC5C=CC(=CC=5S([O-])(=O)=O)N=NC5C=CC(=CC=5)S([O-])(=O)=O)=C(O)C4=CC=3)S([O-])(=O)=O)N=2)=N1, Size
Molecule_41,41,CC(=O)O[Zr](=O)OC(C)=O, Organometallics
Molecule_181,181,CCCC[Sn](CCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_254,254,COB1OB(OB(O1)OC)OC, Organometallics
Molecule_315,315,CCOC(=O)C(C(C)=O)[Ti]1(OCCCO1)C(C(C)=O)C(C)=O, Organometallics
Molecule_347,347,CCCC[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_376,376,CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C, Organometallics
Molecule_470,470,CC(C)O[Ti](OC(C)C)(OCCN(CCO)CCO)OCCN(CCO)CCO, Organometallics
Molecule_757,757,C1=CC=CC2=[S][Zn+2]3([O-]N4C=CC=CC4=[S]3)[O-]N21, Organometallics
Molecule_882,882,CCO[Ti](OCC)(OCC)OCC, Organometallics
Molecule_904,904,CCCC[Mg]CC, Organometallics
Molecule_946,946,CC(=O)[CH-]C(C)=[O+][Al]([O+]=C(C)[CH-]C(C)=O)[O+]=C(C)[CH-]C(C)=O, Organometallics
Molecule_1055,1055,O=C1CCCCCN1[Mg]Br, Organometallics
Molecule_1082,1082,CCCCCCCCCCCCCCCCCC(=O)O[Al](O)OC(=O)CCCCCCCCCCCCCCCCC, Organometallics
Molecule_1089,1089,COC(=O)C=CC(=O)O[Sn](CCCC)(CCCC)OC(=O)C=CC(=O)OC, Organometallics
Molecule_1107,1107,CCCCC(COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CCCC)CC)CC, Organometallics
Molecule_1202,1202,[Cr]#C[Cr]C#[Cr], Organometallics
Molecule_1267,1267,CC(=O)O[Al](O)OC(C)=O, Organometallics
Molecule_1271,1271,CCCCO[Sn](CCCC)(CCCC)OCCCC, Organometallics
Molecule_1386,1386,CC(C)CCCCCCCCCCOC(=O)CCS[Sn](CCCC)(CCCC)SCCC(=O)OCCCCCCCCCCC(C)C, Organometallics
Molecule_1426,1426,CCCC[Sn](Cl)(Cl)CCCC, Organometallics
Molecule_1449,1449,CC(C)O[Al]=O, Organometallics
Molecule_1533,1533,CC(C)C[AlH]CC(C)C, Organometallics
Molecule_1755,1755,CC(=C)C(=O)O[Zn]O, Organometallics
Molecule_1766,1766,C[C]12=[CH]3[C-]4(CCCC)[CH]5=[CH]1[Zr+4]16782453([Cl-])([Cl-])[CH]2[C-]1(CCCC)[CH]6=[CH]7[C]8=2C, Organometallics
Molecule_1817,1817,CCCCCCCC[Sn](Cl)(Cl)Cl, Organometallics
Molecule_2178,2178,CCCC[Sn](O)=O, Organometallics
Molecule_2226,2226,CC(C)C[Al](Cl)Cl, Organometallics
Molecule_2310,2310,CCCCO[Al](OCCCC)OCCCC, Organometallics
Molecule_2376,2376,C[Sn](C)(Cl)Cl, Organometallics
Molecule_2396,2396,CC(=CC(=O)OCC)O[Ti](OC(C)=CC(=O)OCC)(OC(C)C)OC(C)C, Organometallics
Molecule_2665,2665,CC(C)CCCCCOP1(OC(C)CC)[S-][Zn+2]2([S-]P(OC(C)CC)(OCCCCCC(C)C)=[S]2)[S]=1, Organometallics
Molecule_2686,2686,C[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_2714,2714,CCCC[Sn]1(CCCC)OC(=O)C=CC(=O)O1, Organometallics
Molecule_2722,2722,CCCCCCCC[Sn](SCC(=O)OCCCCCC(C)C)(SCC(=O)OCCCCCC(C)C)SCC(=O)OCCCCCC(C)C, Organometallics
Molecule_2725,2725,CCCC[Sn](=O)CCCC, Organometallics
Molecule_2727,2727,CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_3126,3126,CC(=O)O[Hg]C1C=CC=CC=1, Organometallics
Molecule_3147,3147,CC[Al](CC)CC, Organometallics
Molecule_3178,3178,C1CCCCC1[Sn](C1CCCCC1)(C1CCCCC1)N1C=NC=N1, Organometallics
Molecule_3217,3217,C1=CC=C2C=CC=NC2=C1O[Cu]OC1=CC=CC2=CC=CN=C21, Organometallics
Molecule_3218,3218,CC(=O)O[U](=O)(=O)OC(C)=O, Organometallics
Molecule_3238,3238,CCCC[Sn](Cl)(Cl)Cl, Organometallics
Molecule_3298,3298,O[Cu]OC(=O)O[Cu]O, Organometallics
Molecule_3313,3313,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1, Organometallics
Molecule_3367,3367,N#C[Hg]O[Hg]C#N, Organometallics
Molecule_3379,3379,C[Zn]C, Organometallics
Molecule_3405,3405,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_3445,3445,CC(C)(C[Sn](CC(C)(C)C1C=CC=CC=1)(CC(C)(C)C1C=CC=CC=1)O[Sn](CC(C)(C)C1C=CC=CC=1)(CC(C)(C)C1C=CC=CC=1)CC(C)(C)C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_3447,3447,CC(=O)O[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_3448,3448,O[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_3534,3534,CC[Pb](CC)(CC)CC, Organometallics
Molecule_3572,3572,N#C[Hg]C#N, Organometallics
Molecule_3905,3905,CC(=O)O[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_3906,3906,CCCC[Sn](Cl)(CCCC)CCCC, Organometallics
