Molecule name,Salt_Solvent_ID
Molecule_1,0
Molecule_2,0
Molecule_3,0
Molecule_4,0
Molecule_5,0
Molecule_6,0
Molecule_7,0
Molecule_8,110
Molecule_9,0
Molecule_10,0
Molecule_11,110
Molecule_12,0
Molecule_13,3212
Molecule_14,0
Molecule_15,0
Molecule_17,0
Molecule_18,0
Molecule_19,110
Molecule_21,120
Molecule_22,0
Molecule_23,0
Molecule_24,0
Molecule_25,200
Molecule_26,0
Molecule_27,300
Molecule_28,0
Molecule_30,170
Molecule_31,425
Molecule_32,0
Molecule_33,0
Molecule_34,0
Molecule_35,0
Molecule_37,0
Molecule_38,0
Molecule_39,350
Molecule_40,0
Molecule_42,0
Molecule_43,530
Molecule_44,0
Molecule_45,4018
Molecule_46,0
Molecule_47,0
Molecule_49,0
Molecule_50,0
Molecule_51,0
Molecule_52,0
Molecule_53,0
Molecule_54,0
Molecule_55,0
Molecule_56,0
Molecule_57,1858
Molecule_59,270
Molecule_60,0
Molecule_61,0
Molecule_62,0
Molecule_63,0
Molecule_64,30
Molecule_65,0
Molecule_66,170
Molecule_67,30
Molecule_68,0
Molecule_69,0
Molecule_70,0
Molecule_71,3118
Molecule_72,0
Molecule_73,0
Molecule_74,0
Molecule_75,170
Molecule_76,0
Molecule_77,0
Molecule_78,0
Molecule_79,0
Molecule_80,0
Molecule_81,0
Molecule_83,0
Molecule_84,0
Molecule_85,190
Molecule_86,0
Molecule_87,0
Molecule_88,0
Molecule_89,0
Molecule_90,0
Molecule_91,0
Molecule_92,0
Molecule_93,0
Molecule_95,0
Molecule_97,0
Molecule_98,125
Molecule_99,300
Molecule_100,0
Molecule_101,300
Molecule_102,0
Molecule_103,0
Molecule_104,200
Molecule_105,190
Molecule_106,170
Molecule_107,0
Molecule_109,0
Molecule_110,0
Molecule_111,0
Molecule_112,170
Molecule_113,0
Molecule_114,0
Molecule_115,0
Molecule_116,300
Molecule_118,0
Molecule_119,170
Molecule_120,170
Molecule_121,0
Molecule_122,190
Molecule_123,0
Molecule_124,0
Molecule_126,0
Molecule_127,170
Molecule_128,0
Molecule_130,0
Molecule_131,0
Molecule_132,0
Molecule_133,0
Molecule_134,0
Molecule_135,0
Molecule_136,350
Molecule_137,200
Molecule_139,0
Molecule_140,0
Molecule_141,0
Molecule_143,0
Molecule_144,2242
Molecule_145,0
Molecule_146,0
Molecule_147,0
Molecule_148,0
Molecule_149,110
Molecule_150,0
Molecule_151,0
Molecule_152,110
Molecule_153,0
Molecule_154,0
Molecule_155,110
Molecule_156,0
Molecule_157,0
Molecule_158,0
Molecule_159,0
Molecule_160,0
Molecule_161,0
Molecule_163,0
Molecule_164,0
Molecule_165,0
Molecule_166,0
Molecule_167,0
Molecule_168,0
Molecule_169,110
Molecule_170,0
Molecule_171,0
Molecule_172,170
Molecule_173,0
Molecule_175,170
Molecule_176,0
Molecule_177,0
Molecule_178,2292
Molecule_179,190
Molecule_180,0
Molecule_182,0
Molecule_183,0
Molecule_184,0
Molecule_185,0
Molecule_186,170
Molecule_187,1768
Molecule_188,0
Molecule_189,0
Molecule_190,0
Molecule_191,0
Molecule_192,0
Molecule_193,0
Molecule_194,0
Molecule_195,0
Molecule_196,0
Molecule_198,0
Molecule_199,0
Molecule_200,0
Molecule_201,0
Molecule_202,0
Molecule_203,170
Molecule_204,1768
Molecule_205,0
Molecule_206,0
Molecule_207,0
Molecule_208,0
Molecule_209,0
Molecule_210,0
Molecule_211,0
Molecule_212,0
Molecule_213,0
Molecule_215,0
Molecule_216,0
Molecule_217,0
Molecule_218,0
Molecule_219,110
Molecule_221,70
Molecule_222,0
Molecule_223,0
Molecule_224,110
