INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,SMILES,INCHI_STRING,DTXCID
68186-95-8,CASRN,DTXSID0097378,C.I. Pigment Blue 71,68186-95-8,N/A,N/A,N/A,N/A
12031-95-7,CASRN,DTXSID601335062,Lithium titanium oxide (Li4Ti5O12),12031-95-7,N/A,N/A,N/A,N/A
80-26-2,CASRN,DTXSID2026496,alpha-Terpinyl acetate,80-26-2,IGODOXYLBBXFDW-UHFFFAOYSA-N,CC(=O)OC(C)(C)C1CCC(C)=CC1,"InChI=1/C12H20O2/c1-9-5-7-11(8-6-9)12(3,4)14-10(2)13/h5,11H,6-8H2,1-4H3
",DTXCID506496
109-88-6,CASRN,DTXSID50890493,"Methanol, magnesium salt (2:1)",109-88-6,CRGZYKWWYNQGEC-UHFFFAOYSA-N,[Mg++].C[O-].C[O-],"InChI=1S/2CH3O.Mg/c2*1-2;/h2*1H3;/q2*-1;+2
",DTXCID501030429
325855-90-1,CASRN,DTXSID901106951,"3,4-Dichloro-N-[5-chloro-4-[[2-[[4-[(2-hexyldecyl)oxy]phenyl]sulfonyl]-1-oxobutyl]amino]-2-hydroxyphenyl]benzamide",325855-90-1,OTSLJUWXGHUZEG-UHFFFAOYNA-N,CCCCCCCCC(CCCCCC)COC1=CC=C(C=C1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(NC(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1Cl,"InChI=1/C39H51Cl3N2O6S/c1-4-7-9-11-12-14-16-27(15-13-10-8-5-2)26-50-29-18-20-30(21-19-29)51(48,49)37(6-3)39(47)43-34-25-36(45)35(24-33(34)42)44-38(46)28-17-22-31(40)32(41)23-28/h17-25,27,37,45H,4-16,26H2,1-3H3,(H,43,47)(H,44,46)
",DTXCID401538606
120-55-8,CASRN,DTXSID0026967,Diethylene glycol dibenzoate,120-55-8,NXQMCAOPTPLPRL-UHFFFAOYSA-N,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C18H18O5/c19-17(15-7-3-1-4-8-15)22-13-11-21-12-14-23-18(20)16-9-5-2-6-10-16/h1-10H,11-14H2
",DTXCID006967
93763-33-8,CASRN,DTXSID601027334,"Hydrocarbons, C6-11, hydrotreated, dearomatized",93763-33-8,N/A,N/A,N/A,N/A
94733-07-0,CASRN,DTXSID701036659,"Distillates (petroleum), cracked, ethylene manuf. by-product, C9-10 fraction",94733-07-0,N/A,N/A,N/A,N/A
17438-89-0,CASRN,DTXSID3029314,"1-Decene, dimer",17438-89-0,N/A,N/A,N/A,N/A
682-11-1,CASRN,DTXSID5052674,2-Allyloxymethyl-2-ethylpropanediol,682-11-1,LZDXRPVSAKWYDH-UHFFFAOYSA-N,CCC(CO)(CO)COCC=C,"InChI=1S/C9H18O3/c1-3-5-12-8-9(4-2,6-10)7-11/h3,10-11H,1,4-8H2,2H3
",DTXCID8030974
64742-95-6,CASRN,DTXSID4028252,Light aromatic solvent naphtha (petroleum),64742-95-6,N/A,N/A,N/A,N/A
68526-92-1,CASRN,DTXSID2028692,"Dodecene, hydroformylation products, low-boiling",68526-92-1,N/A,N/A,N/A,N/A
85535-87-1,CASRN,DTXSID8029814,Alkenes C10-13,85535-87-1,N/A,N/A,N/A,N/A
503157-00-4,CASRN,DTXSID801019678,Disodium polyamino-{[4-(ethenylsubstituted)phenyl]diazenyl}-{[4-(ethenylsubstituted)- sulfonatophenyl]diazenyl}benzenesulfonate,503157-00-4,N/A,N/A,N/A,N/A
