"Fragment","Sum(True Positives)","Sum(False Positives)"
"N(-C)=C=O",32.0,1.0
"N1-C-C-C-C-C-1",57.0,8.0
"Cl-C-C-Cl",25.0,1.0
"N(-C-C-C-C-C-C-C-C)(-C)-C",42.0,6.0
"O1-C-C(-C-C-1)-C",25.0,1.0
"P(-S)-O-C",24.0,1.0
"P(-C-C)-C",22.0,1.0
"Cl-c1:n:c:n:c:n:1",23.0,2.0
"Cl-C-c1:c:c:c:c:c:1",21.0,2.0
"n1:c(:c:c:c:c:1)-C",24.0,3.0
"Cl-c1:c:c(:c:c:c:1)-C-C",12.0,0.0
"N(-C-C-C-N)-C-C-C-C-C-C-C-C-C",12.0,0.0
"N(-c1:c:c:c(:c:c:1)-C-c1:c:c:c(:c:c:1)-N-C)-C",12.0,0.0
"Cl-c1:c:c:c(:c:c:1)-C-C-N",12.0,0.0
"O(-c1:c:c:c:c:c:1)-C(-C-O)-C",12.0,0.0
"N(-O)(-c1:c:c(:c:c(:c:1)-C)-N(-O)=O)=O",11.0,0.0
"O(-C=O)-C=O",21.0,0.0
"O(-C(-C1-C-C-1)=O)-C",11.0,0.0
"N1-C-C-N-C-C-1",25.0,4.0
"O1-C(-C-1)-C-O",25.0,4.0
"S(-O)(-c1:c(:c:c:c:c:1)-O)(=O)=O",10.0,0.0
"S(-C-C-O-C-C)(=O)=O",10.0,0.0
"P(-O-C-C)(-O-C)=S",10.0,0.0
"S(-N-C)-N",9.0,0.0
"N-C-C-O-C-C-N",9.0,0.0
"Cl-S(=O)=O",9.0,0.0
"[Si](-Cl)(-Cl)-C",9.0,0.0
"F-C(-F)-C=O",12.0,1.0
"O-c1:c(:c:c:c(:c:1)-C)-O",26.0,5.0
"S(-O)(-c1:c(:c:c:c(:c:1)-N-C)-N)(=O)=O",8.0,0.0
"P(-O)(-O)(-C)=O",22.0,4.0
"N1-C(-C-C-C-1)=O",11.0,1.0
"[Si](-O-N=C(-C-C)-C)(-O-N=C(-C-C)-C)-O-N=C(-C-C)-C",7.0,0.0
"O(-C(-C=C)=O)-C-C-C-O-C-C",7.0,0.0
"S1-C-N-C-C-1",10.0,1.0
"S(-O)(-C-C-C-C)=O",10.0,1.0
"N-C(-C-O)-C-c1:c:c:c:c:c:1",6.0,0.0
"Cl-c1:c(:c:c(:c:c:1)-O)-C",6.0,0.0
"N1-C(-C=C-C-1)=O",6.0,0.0
"s1:n:c(:c:c:1)=O",6.0,0.0
"P(-O-C-C-C-C-C-C)(-O)(-O)=O",6.0,0.0
"N-C-C-O-C-C-O",9.0,1.0
"N(-C-C-C-N)-C-C-C-N",9.0,1.0
"n1:c(-c2:c(-c:1:n:c):c:c:c:c:2):n:c1:n:c(:c2:c:1:c:c:c:c:2):n:c1-c2:c(-c(:n:1):n:c):c:c:c:c:2",5.0,0.0
"N(-c1:c(:c:c:c:c:1-C)-C)-C(-C)=O",5.0,0.0
"S(-c1:c:c:c(:c:c:1)-C(-O)=O)(=O)=O",5.0,0.0
"Cl-c1:c(:c:c(:c(:c:1)-Cl)-O)-Cl",5.0,0.0
"F-c1:c(:c:c:c:c:1-F)-F",5.0,0.0
"O1-C(-C-C-C-1-C)-C",5.0,0.0
"s1:c:n:n:c:1",5.0,0.0
"N#C-C(-O)-C",5.0,0.0
"O(-C-C(-O)=O)-C-C-O-C-C",5.0,0.0
"N1(-c2:c(-C(-C=1-C)(-C)-C):c:c:c:c:2)-C",12.0,2.0
"Cl-C-O-C",12.0,2.0
"O-c1:c:c(:c:c:c:1)-C(-C)=O",8.0,1.0
"N(-O)(-C-C)=O",5.0,0.0
"S(-O-C-C-S(-c1:c:c:c(:c:c:1)-N=N-c1:c(:c:c:c(:c:1)-S(-O)(=O)=O)-N)(=O)=O)(-O)(=O)=O",4.0,0.0
"N(-c1:c2:c(:c(:c:c:1)-N=N-c1:c:c:c:c:c:1):c:c:c:c:2)=N-c1:c:c:c(:c:c:1)-N",4.0,0.0
"Cl-c1:c:c:c(:c:c:1)-C(-c1:c:c:c:c:c:1)-C",4.0,0.0
"N(-C-C-C-C)(-C-C-C-C)-C-C-C",8.0,1.0
"O-C(-C=C)(-C)-C",9.0,1.0
"N(-c1:c:c:c(:c:c:1)-N=N-C)(-C-C-N)-C-C",4.0,0.0
"O(-C-C-O-C-C-O-C-C)-C-C-O-C-C-O",4.0,0.0
"N(-C-c1:c:c(:c:c(:c:1)-C)-C)-C",4.0,0.0
"N(-c1:c(:c:c:c:c:1)-C)-C-N-C",4.0,0.0
"N-C(-C-O)(-C)-C",10.0,1.0
"S-c1:c(:c:c:c:c:1)-C(-O)=O",4.0,0.0
"S(-C=C)-C",9.0,1.0
"Cl-c1:c:c(:c(:c:c:1)-O)-C",4.0,0.0
"Cl-c1:c:c(:c:c(:c:1)-N)-Cl",4.0,0.0
"n1(:c:c:c:c:c:1)-O",4.0,0.0
"n1(:n:c:n:c:1)-C-C",4.0,0.0
"N1-C-C-N=C-1-C",4.0,0.0
"O1-C-C-O-C-C-1",4.0,0.0
"n1:c(:n:c:c:1)-N",4.0,0.0
"s1:c:n(:c:c:1)-C",4.0,0.0
"S(-C(-N)=O)-C-C",4.0,0.0
"S(-O)(-c1:c(:c:c(:c:c:1)-N)-N)(=O)=O",4.0,0.0
"S-C(-O-C-C)=S",4.0,0.0
"[Si](-C-C-C-N)-C",4.0,0.0
"n1:o:c:c:c:1",4.0,0.0
"[Si]-C(-C)(-C)-C",4.0,0.0
"O1-C-C-C-1",4.0,0.0
"N=C1-C=C-C-C=C-1",7.0,1.0
"Br-C-C-Br",7.0,1.0
"N(-C(-C-C-C-C-C-C-C-C-C-C-C-C-C)=O)-C-C-O",6.0,1.0
"Cl-C-C-N(-C-C)-C",6.0,1.0
"O(-C1-C-C-C-C-C-1)-C-C-O",6.0,1.0
"Cl-C=C-Cl",6.0,1.0
"O-C-c1:c:c2:c(:c:c:1):c:c:c:c:2",6.0,1.0
"N(-C(-O-c1:c:c:c:c:c:1)=O)-C",6.0,1.0
"Cl-C(-C-C)=O",6.0,1.0
"N(-C-C-O)(-C-C-O)-C-C-C",9.0,2.0
"N(-C-C-N-C)-C-C-N",5.0,1.0
"O-C(-C#C-C-C)-C",5.0,1.0
"N(-C(-N-C)=N)-C",5.0,1.0
"Cl-c1:c:c(:c:c:c:1)-C(-O)=O",5.0,1.0
"Cl-c1:c:c:c(:c:c:1)-C(-C)=O",5.0,1.0
"O-c1:c:c(:c:c:c:1)-C(-C)-C",5.0,1.0
"n1:c(:n:c:n:c:1)-N-C-C-C",5.0,1.0
"S-C(-N-C-C)=S",5.0,1.0
"s1:c(:c:c:c:1)-C",12.0,3.0
"N1-C(-c2:c(-C-1=O):c:c:c:c:2)=O",8.0,2.0
"O(-O-C(-O-C-C)=O)-C(-O-C-C)=O",4.0,1.0
"Cl-c1:c(:c:c:c:c:1)-O-c1:c:c:c(:c:c:1)-N",4.0,1.0
"N(-O)(-c1:c:c(:c:c(:c:1)-N(-O)=O)-N(-O)=O)=O",4.0,1.0
"N-C1-C-C(-C-C(-C-1)(-C)-C)(-C-N)-C",4.0,1.0
"O=C-C(-C=O)=C-c1:c:c:c:c:c:1",4.0,1.0
"Cl-c1:c(:c:c:c:c:1)-S(=O)=O",4.0,1.0
"B(-O)(-O)-c1:c:c:c:c:c:1",4.0,1.0
"O1-C(-C-C(-C-C-1)(-O)-C)-C",4.0,1.0
"Br-C-c1:c:c:c:c:c:1",4.0,1.0
"I-c1:c:c(:c:c:c:1)-C",4.0,1.0
"N1(-C(-N(-C-C-1)-C)=O)-C",4.0,1.0
"N(-C-O-C)-C(-C=C)=O",4.0,1.0
"N=C(-C-C(-O-C)=O)-C",4.0,1.0
"Cl-C(-C(-O)=O)-C",4.0,1.0
"S(-N)(-C-C)(=O)=O",4.0,1.0
"Cl-C(-N)=O",4.0,1.0
"N(-O-C)=O",4.0,1.0
