INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,SMILES,INCHI_STRING,DTXCID
51581-32-9,CASRN,DTXSID10199535,Norpyridostigmine,51581-32-9,VZELUFSMNDBCBO-UHFFFAOYSA-N,CN(C)C(=O)OC1=CN=CC=C1,"InChI=1S/C8H10N2O2/c1-10(2)8(11)12-7-4-3-5-9-6-7/h3-6H,1-2H3
",DTXCID70122026
35155-28-3,CASRN,DTXSID30956602,"(10-Methoxy-1,6-dimethylergolin-8-yl)methanol",35155-28-3,LVXVIPZBNJSUKL-FOKFDTGNSA-N,[H][C@]1(CO)CN(C)[C@]2([H])CC3=CN(C)C4=CC=CC(=C34)C2(C1)OC,"InChI=1S/C18H24N2O2/c1-19-10-13-7-16-18(22-3,8-12(11-21)9-20(16)2)14-5-4-6-15(19)17(13)14/h4-6,10,12,16,21H,7-9,11H2,1-3H3/t12-,16-,18?/m1/s1
",DTXCID501384561
84989-13-9,CASRN,DTXSID101021129,"Benzenesulfonic acid, 4-​C10-​13-​sec-​alkyl derivs., ammonium salts",84989-13-9,N/A,N/A,N/A,N/A
289-95-2,CASRN,DTXSID1051228,Pyrimidine,289-95-2,CZPWVGJYEJSRLH-UHFFFAOYSA-N,C1=CN=CN=C1,"InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H
",DTXCID4029850
77-78-1,CASRN,DTXSID5024055,Dimethyl sulfate,77-78-1,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,COS(=O)(=O)OC,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3
",DTXCID904055
80-73-9,CASRN,DTXSID1073153,"1,3-Dimethyl-2-imidazolidinone",80-73-9,CYSGHNMQYZDMIA-UHFFFAOYSA-N,CN1CCN(C)C1=O,"InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3
",DTXCID2048169
38714-47-5,CASRN,DTXSID00894406,"Zinc(2+), tetraammine-, (T-4)-, carbonate (1:1)",38714-47-5,N/A,N/A,N/A,N/A
610-81-1,CASRN,DTXSID50209864,4-Amino-3-nitrophenol,610-81-1,IQXUIDYRTHQTET-UHFFFAOYSA-N,NC1=C(C=C(O)C=C1)[N+]([O-])=O,"InChI=1S/C6H6N2O3/c7-5-2-1-4(9)3-6(5)8(10)11/h1-3,9H,7H2
",DTXCID00132355
93763-33-8,CASRN,DTXSID601027334,"Hydrocarbons, C6-11, hydrotreated, dearomatized",93763-33-8,N/A,N/A,N/A,N/A
13531-52-7,CASRN,DTXSID9065522,"N-(2-Aminoethyl)-1,3-propanediamine",13531-52-7,DTSDBGVDESRKKD-UHFFFAOYSA-N,NCCCNCCN,"InChI=1S/C5H15N3/c6-2-1-4-8-5-3-7/h8H,1-7H2
",DTXCID0034308
894-86-0,CASRN,DTXSID3061269,"[2,2'-Bi-1H-indole]-3,3'-diol, disodium salt",894-86-0,CMSRLFLXFXUENW-UHFFFAOYSA-L,[Na+].[Na+].[O-]C1=C(NC2=CC=CC=C12)C1=C([O-])C2=CC=CC=C2N1,"InChI=1S/C16H12N2O2.2Na/c19-15-9-5-1-3-7-11(9)17-13(15)14-16(20)10-6-2-4-8-12(10)18-14;;/h1-8,17-20H;;/q;2*+1/p-2
",DTXCID1048677
94733-07-0,CASRN,DTXSID701036659,"Distillates (petroleum), cracked, ethylene manuf. by-product, C9-10 fraction",94733-07-0,N/A,N/A,N/A,N/A
2755813-36-4,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56962-04-0,CASRN,DTXSID80627097,3-Bromo-5-chlorophenol,56962-04-0,GMGWXLPFRHYWAS-UHFFFAOYSA-N,OC1=CC(Cl)=CC(Br)=C1,"InChI=1S/C6H4BrClO/c7-4-1-5(8)3-6(9)2-4/h1-3,9H
",DTXCID70577850
91053-49-5,CASRN,DTXSID301066048,"Leach residues, zinc ore, lead-contg.",91053-49-5,N/A,N/A,N/A,N/A
110-86-1,CASRN,DTXSID9021924,Pyridine,110-86-1,JUJWROOIHBZHMG-UHFFFAOYSA-N,C1=CC=NC=C1,"InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H
",DTXCID101924
3794-83-0,CASRN,DTXSID7029663,Tetrasodium etidronate,3794-83-0,KWXLCDNSEHTOCB-UHFFFAOYSA-J,[Na+].[Na+].[Na+].[Na+].CC(O)(P([O-])([O-])=O)P([O-])([O-])=O,"InChI=1S/C2H8O7P2.4Na/c1-2(3,10(4,5)6)11(7,8)9;;;;/h3H,1H3,(H2,4,5,6)(H2,7,8,9);;;;/q;4*+1/p-4
",DTXCID109663
765-69-5,CASRN,DTXSID30227309,"2-Methylcyclopentane-1,3-dione",765-69-5,HXZILEQYFQYQCE-UHFFFAOYSA-N,CC1C(=O)CCC1=O,"InChI=1S/C6H8O2/c1-4-5(7)2-3-6(4)8/h4H,2-3H2,1H3
",DTXCID80149800
64742-95-6,CASRN,DTXSID4028252,Light aromatic solvent naphtha (petroleum),64742-95-6,N/A,N/A,N/A,N/A
