SMILES,Activity
CCOP(OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C)OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C,0
CCCCCCCCCCCCCCCCSC1NC2=CC(=CC=C2N=1)S(O)(=O)=O,1
O=C(CC(=O)CC1=CC(F)=C(F)C=C1F)N1CC2=NN=C(N2CC1)C(F)(F)F,0
CC1C=C(N)N(N=1)C1C=CC=CC=1,0
CC1CCCC(C)(C)C=1C(=O)C=CC,0
O=C=NC1C=C(Cl)C=C(Cl)C=1,1
O=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,1
COC1C=CC(=CC=1N)C(=O)NC1C=CC=CC=1,0
CCC(C)(O)C#C,1
C=CCCCCCCCCC(O)=O,1
CC(C)(CC)C1=CC=CC=C1O,1
CN(C)C1C=CN=CC=1,1
CC=CC=CC=O,1
CC1=CC=CC=C1C(=O)C1C=CC=C(Br)N=1,1
CCOC(OCC)OCC,0
CC(=C)C(=O)NCOCCCC,0
CC(=O)OCC1CSC2C(N)C(=O)N2C=1C(O)=O,1
CC1(C)OC(COCC2C=CC=CC=2)(CO1)C(OCC1C=CC=CC=1)C(OCC1C=CC=CC=1)C(OCC1C=CC=CC=1)C(=O)N1CCN(C)CC1,1
NCCN,1
CC(C)NC(=O)C=C,1
CCCCCCCCCCSCCN,1
CC#N,1
CCSC(=O)N(CCC)CCC,1
CC(C)OCC1CO1,1
CN1CCN(C(C1)C1C=CC=CC=1)C1N=CC=CC=1CO,1
CC1(C)C(=O)N(CO)C(=O)N1CO,1
CCCCP(CC1C=CC(Cl)=CC=1Cl)(CCCC)CCCC,1
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,0
CCC(O)(C(C)CN(C)C)C1=CC(=CC=C1)OC,1
COC1=CC=C(C=C1Cl)OC,0
CCCCCCCOCC(C)CC=O,0
N#CCCCCCCC#N,0
COCCl,1
CCCCCCCCCCCCCCCCCCCCCCO,1
O=C(Cl)OCCCCl,1
CC1C=CC=C(C)C=1OP(=O)(OC1C=CC(=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C(C)=CC=CC=1C)OC1C(C)=CC=CC=1C)OC1C(C)=CC=CC=1C,0
CC(C)CCOC(S)=S,1
CC(CCC(=O)OC)C1CCC2C3C(CC(=O)C21C)C1(C)CCC(CC1CC3OC(C)=O)OC(C)=O,0
CC(C)(C)CC(C)(C)NC1N=C(Cl)N=C(Cl)N=1,1
CC(=O)C1(Cl)CC1,0
NCC(O)=O,1
CC(=O)CC(=O)OCCOC(=O)C(C)=C,0
NC(=N)O,1
CCCCCCCCCCCCCCCC=CCC(CC(O)=O)C(O)=O,1
OC1C(Cl)=CC=CC=1Cl,1
CC(CC=O)CC(C)(C)C,1
COC1=CC(OC)=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C(N=NC2=CC(=CC=C2OC)C(=O)NC2C=CC(=CC=2)C(N)=O)=C1O,0
CC(=O)CC(=O)NC1C=CC=CC=1,0
CCCCCCCCCCCCCCCCCC,0
CCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC,0
ClC1=CC(Cl)=C(C=C1)C(Cl)(Cl)Cl,1
OC1C=CC=CC=1C(=O)OCC1C=CC=CC=1,1
CC(C)N=C=NC(C)C,1
CCCCC(CC)C=O,0
OCNC(=O)N(CO)C1C(=O)N(CO)C(=O)N1CO,1
OC1C=C(C=CC=1C(O)=O)C(F)(F)F,1
CC(CC(C)C)OC(=O)CC(C(=O)OC(C)CC(C)C)S(O)(=O)=O,1
CCCCCCCCCCCCCCCCCCCCCC(O)=O,0
OC1=CC(=CC2C=C(C=CC1=2)NC1C=CC=CC=1)S(O)(=O)=O,0
FC(F)=C(F)F,1
NC1=CC=C(C=C1)N(CCO)CCO,1
COC(O)=NC(CC1C=CC=CC=1)C(O)CCl,1
NS(=O)(=O)NC(=N)CCCl,1
CCCCC(=O)CC,1
ClC1=CC2OC(Cl)=NC=2C=C1,1
NC1=CC(=C(C=CC2C=CC(N)=CC=2S(O)(=O)=O)C=C1)S(O)(=O)=O,0
OC1C=C2CCNC2=CC=1O,1
CC1C=C(Cl)C=CC=1O,1
