CASRN,SMILES
80-26-2,CC(=O)OC(C)(C)C1CCC(C)=CC1
61718-80-7,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F
109-88-6,[Mg++].C[O-].C[O-]
325855-90-1,CCCCCCCCC(CCCCCC)COC1=CC=C(C=C1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(NC(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1Cl
120-55-8,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
1020409-50-0,OP(O)([O-])=O.OP(O)([O-])=O.O=C1C[NH2+]CC2[NH+]1CCC1=C2C=CC=C1
894-86-0,[Na+].[Na+].[O-]C1=C(NC2=CC=CC=C12)C1=C([O-])C2=CC=CC=C2N1
56962-04-0,OC1=CC(Cl)=CC(Br)=C1
682-11-1,CCC(CO)(CO)COCC=C
16891-37-5,[Mg++].CCOC([O-])=O.CCOC([O-])=O
92585-24-5,CC(CO)CC(C)C1=CC=CC=C1
7783-48-4,[F-].[F-].[Sr++]
7778-80-5,[K+].[K+].[O-]S([O-])(=O)=O
667-84-5,CCOCCCNC(=O)C(O)C(C)(C)CO
461432-25-7,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)C=C1
34454-97-2,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
13977-56-5,[O--].[O--].[O--].[O--].[V+5].[Fe+3]
15687-27-1,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
16294-75-0,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C34
60924-38-1,C[C@@H]1CCC23CCC(=O)[C@H]2C1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)COS(C)(=O)=O
15432-85-6,[Na+].O=[Sb-](=O)=O
52238-92-3,OC1=C(N=NC2=CC(=CC=C2Cl)C(F)(F)F)C2=C(C=CC=C2)C=C1C(=O)NC1=CC(Cl)=C(NC(=O)C2=CC3=C(C=CC=C3)C(N=NC3=CC(=CC=C3Cl)C(F)(F)F)=C2O)C=C1Cl
135861-56-2,[H][C@]12COC(O[C@@]1([H])[C@]([H])(OC(O2)C1=CC=C(C)C(C)=C1)[C@H](O)CO)C1=CC=C(C)C(C)=C1
5153-24-2,CC(=O)O[Zr](=O)OC(C)=O
34451-26-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS
17773-41-0,CSCCC(O)C#N
84632-65-5,ClC1=CC=C(C=C1)C1=C2C(=O)NC(=C2C(=O)N1)C1=CC=C(Cl)C=C1
93-84-5,[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1
126213-50-1,C1COC2=CSC=C2O1
53201-62-0,OC1=CC=C(C=C1)C(=O)OC1=CC=C(OC(=O)C2=CC=C(O)C=C2)C=C1
1314-98-3,[S--].[Zn++]
1314-11-0,O=[Sr]
1182722-58-2,N[C@@H]1CCC2=C(C1)C1=CC=CC=C1N2CCC(O)=O
54660-00-3,O=C1NC(=C2C(=O)NC(=C12)C1=CC=CC=C1)C1=CC=CC=C1
147126-62-3,[H][C@]1(O)CS[C@@]([H])(O1)C(=O)O[C@]1([H])C[C@]([H])(C)CC[C@@]1([H])C(C)C
10361-44-1,[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O
52334-81-3,FC(F)(F)C1=CN=C(Cl)C=C1
17194-00-2,[OH-].[OH-].[Ba++]
75-85-4,CCC(C)(C)O
12060-58-1,O=[Sm]O[Sm]=O
6925-69-5,O=C1N2C(=NC3=C4C(C=CC=C24)=CC=C3)C2=CC=CC=C12
14442-94-5,CCCCCCCCCCCCCCCCCCNC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
25340-17-4,"CC*.CCC1=CC=CC=C1 |c:6,8,t:4,m:2:6.7.8|"
12003-78-0,[AlH3].[Ni]
84731-70-4,CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC
102-79-4,CCCCN(CCO)CCO
18621-94-8,[Li+].[Li+].[O-]C(=O)CCCCC([O-])=O
86087-23-2,O[C@H]1CCOC1
55290-62-5,CCCCC(CC)CNS(=O)(=O)C1=CC=C(C=C1)N=NC1=C(O)N(CCCC)C(=O)C(C#N)=C1C
65870-97-5,CC(CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C
13870-28-5,[Na+].[Na+].[O-][Si](=O)O[Si]([O-])=O
6440-58-0,CC1(C)N(CO)C(=O)N(CO)C1=O
145650-60-8,CCOP(OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C)OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C
2814-77-9,OC1=C(N=NC2=CC=C(C=C2Cl)[N+]([O-])=O)C2=C(C=CC=C2)C=C1
59875-04-6,CCCC(=O)NC(C)C(O)=O
5580-58-5,CC(=O)C(N=NC1=C(Cl)C=CC(=C1)C(=O)NC1=CC(Cl)=CC=C1C)C(=O)NC1=CC(Cl)=C(NC(=O)C(N=NC2=C(Cl)C=CC(=C2)C(=O)NC2=CC(Cl)=CC=C2C)C(C)=O)C=C1Cl
139-33-3,[Na+].[Na+].OC(=O)CN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O
3072-84-2,CC(C)(C1=CC(Br)=C(OCC2CO2)C(Br)=C1)C1=CC(Br)=C(OCC2CO2)C(Br)=C1
54423-67-5,CC(C)(C)CCCCC(=O)OC=C
24887-06-7,[Zn++].OCS([O-])=O.OCS([O-])=O
3164-34-9,[Ca++].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O
127-95-7,[K+].OC(=O)C([O-])=O
2055396-18-2,[K+].[Fe+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
2568-90-3,CCCCOCOCCCC
35077-00-0,CCO[Si](OCC)(OCC)N(CC)CC
1303-00-0,[Ga]#[As]
115-84-4,CCCCC(CC)(CO)CO
335153-21-4,CCCCC(OC1=C(C=O)C=C(C=C1)[N+]([O-])=O)C(O)=O
361442-00-4,CC(C)(C)OC(=O)N[C@H](C(O)=O)C12CC3CC(CC(O)(C3)C1)C2
3578-72-1,[Ca++].CCCCCCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCCCCCC([O-])=O
557-28-8,[Zn++].CCC([O-])=O.CCC([O-])=O
2997-92-4,Cl.Cl.CC(C)(N=NC(C)(C)C(N)=N)C(N)=N
674773-13-8,COC(=O)CN(CC(=O)OC)C1=C(C#N)C(CC(=O)OC)=C(S1)C(=O)OC
110-71-4,COCCOC
10429-07-9,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(CC[C@]12C)OS(=O)(=O)C1=CC=C(C)C=C1
89-39-4,COC1=CC(=C(OC)C=C1)[N+]([O-])=O
3007-53-2,CCCCCCCCCCCC(=O)N(C)C
682-09-7,CCC(CO)(COCC=C)COCC=C
115-69-5,CC(N)(CO)CO
72749-80-5,[Na+].[Na+].[O-]S(=O)(=O)C1=CC2=NC3=C(C=C(NC4=CC=CC=C4)C4=C(C=CC=C34)S([O-])(=O)=O)N(C3=CC=CC=C3)C2=CC1=N
62-33-9,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
2432-99-7,NCCCCCCCCCCC(O)=O
1298086-15-3,CCOC1=CC=C(C=C1)C(OCC1=CC=CC=C1)C1=C(Cl)C=CC(Br)=C1
96-31-1,CNC(=O)NC
56-86-0,N[C@@H](CCC(O)=O)C(O)=O
6528-34-3,COC1=CC(=C(C=C1)N=NC(C(C)=O)C(=O)NC1=C(OC)C=CC=C1)[N+]([O-])=O
38632-47-2,[Na+].[Na+].[O-]S(=O)(=O)C(=O)NCCCCCCNC(=O)S([O-])(=O)=O
1054448-65-5,[NH4+].[NH4+].CCCCCCS(=O)(=O)C1=CC(=C(NC2=CC=C3N(C)C(=O)C(C(=O)C4=CC(=CC=C4)S([O-])(=O)=O)=C4C5=C(C=CC=C5)C(=O)C2=C34)C=C1)S([O-])(=O)=O
1489170-67-3,[Na+].[O-]C(=O)C1=CC=C(NC(=O)C2=CC=C(Cl)C=C2)C=C1
2495-39-8,[Na+].[O-]S(=O)(=O)CC=C
88150-62-3,CCOC(=O)C1=C(COCCN2C(=O)C3=C(C=CC=C3)C2=O)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
5026-62-0,[Na+].COC(=O)C1=CC=C([O-])C=C1
112-07-2,CCCCOCCOC(C)=O
71294-03-6,FC1=CC=CC2=C1NC(=O)C2
13040-19-2,[Zn++].CCCCCC[C@@H](O)C\C=C/CCCCCCCC([O-])=O.CCCCCC[C@@H](O)C\C=C/CCCCCCCC([O-])=O
14858-73-2,CCCCC(CC)COC(=O)OCC(CC)CCCC
330459-31-9,O1N=C(N=C1C1=CC=CS1)C1=CC=CC=C1
6381-77-7,[Na+].OC[C@@H](O)[C@H]1OC(=O)C(O)=C1[O-]
247089-62-9,CCCCCCCCCCCCCCCCCCSC1=CC=C(C=C1)C1=C2C(=O)NC(=C2C(=O)N1)C1=CC=C(SCCCCCCCCCCCCCCCCCC)C=C1
830322-14-0,CC(C)CCC1CCC(O)CC1
712-50-5,O=C(C1CCCCC1)C1=CC=CC=C1
121-57-3,NC1=CC=C(C=C1)S(O)(=O)=O
1147459-12-8,"CCCCCCCCCCCC(=O)NCCCN(C)C |lp:12:2,13:1,17:1,Sg:n:7,6:1-4:ht|"
107-05-1,ClCC=C
2893-78-9,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O
55819-71-1,Cl.NN=C(O)C(N)CO
49701-24-8,CNS(=O)(=O)C1=C(OC)C=C(N)C(OC)=C1
1370711-06-0,CCC(OC(=O)\C=C\C)C(C)C
1307-86-4,[OH-].[OH-].[OH-].[Co+3]
66170-10-3,[Na+].[Na+].[Na+].[H][C@@]1(OC(=O)C(OP([O-])([O-])=O)=C1[O-])[C@@H](O)CO
39290-90-9,[Mg++].[Mg++].[Mg++].[K+].[K+].[K+].[K+].[O-][Ti]([O-])=O.[O-][Ti]([O-])([O-])[O-]
3344-18-1,[Mg++].[Mg++].[Mg++].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
53803-13-7,C[N+](C)(C)C.CC(C)(C)C([O-])=O
79-81-2,CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
29598-76-3,CCCCCCCCCCCCSCCC(=O)OCC(COC(=O)CCSCCCCCCCCCCCC)(COC(=O)CCSCCCCCCCCCCCC)COC(=O)CCSCCCCCCCCCCCC
150-39-0,OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
22818-40-2,N[C@@H](C(O)=O)C1=CC=C(O)C=C1
71-55-6,CC(Cl)(Cl)Cl
3033-62-3,CN(C)CCOCCN(C)C
138495-42-8,FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F
10043-01-3,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O
26364-65-8,N#CNC1=NCCS1
97042-18-7,OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1
6410-32-8,CC1=C(NC(=O)C2=C(O)C(N=NC3=C(C)C=C(C=C3)[N+]([O-])=O)=C3C=CC=CC3=C2)C=CC=C1
674773-12-7,COC(=O)CC1=C(SC(N)=C1C#N)C(=O)OC
203448-76-4,CC(C)CC(C)C1=C(N)C=CC=C1
143-22-6,CCCCOCCOCCOCCO
91-22-5,C1=CC2=C(C=C1)N=CC=C2
81-13-0,CC(C)(CO)[C@@H](O)C(=O)NCCCO
7486-38-6,[Na+].[Na+].[O-]C(=O)CCCCC([O-])=O
64665-57-2,"[Na+].C*.[N-]1N=NC2=CC=CC=C12 |c:2,6,t:4,8,lp:3:2,4:1,5:1,m:2:7.8|"
7758-29-4,[Na+].[Na+].[Na+].[Na+].[Na+].[O-]P([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O
22473-78-5,[NH4+].[NH4+].[NH4+].[NH4+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
256473-04-8,FC(F)(F)COC1=CC=CN=C1Cl
922165-31-9,CCOCCOCCOC(=O)C1CCC(CC1)C(=O)OCCOCCOCC
15214-89-8,CC(C)(CS(O)(=O)=O)NC(=O)C=C
917-61-3,[Na+].[O-]C#N
78491-02-8,OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O
7440-50-8,[Cu]
31775-16-3,COC1=CC=C(NC(=O)C(N=NC2=CC=C(C=C2Cl)C2=CC(Cl)=C(C=C2)N=NC(C(C)=O)C(=O)NC2=CC=C(OC)C=C2)C(C)=O)C=C1
194602-23-8,CCOC1=C(C=C(C=C1)S(=O)(=O)N1CCN(C)CC1)C(O)=O
88-74-4,NC1=CC=CC=C1[N+]([O-])=O
67874-71-9,[Bi+3].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
2890-61-1,CC1(CCCCC1)C(Cl)=O
14100-64-2,[Ca++].[O-][V](=O)=O.[O-][V](=O)=O
109-69-3,CCCCCl
1400584-86-2,[NaH].CO[C@H]1CC[C@]2(CC1)NC(=O)NC2=O
64696-98-6,[Ni++].[O-]C1=C(\C=N\C(\C#N)=C(/N=C/C2=C([O-])C=CC=C2)\C#N)C=CC=C1
37443-42-8,COC(=O)C1CCCO1
102-24-9,COB1OB(OC)OB(OC)O1
92878-95-0,COC1=C(OCCCCl)C=C(C=C1)[N+]([O-])=O
92-52-4,C1=CC=C(C=C1)C1=CC=CC=C1
1604-35-9,CC(C)CCCC(C)CCCC(C)(O)C#C
1228180-58-2,[Na+].[Na+].CCN1C(O)=C(N=NC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(C=C2)N=NC2=C(O)N(CC)C(=O)C(CS([O-])(=O)=O)=C2C)C(C)=C(CS([O-])(=O)=O)C1=O
1035204-85-3,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H]1C[C@H](CC(=O)OC(C)(C)C)OC2(CCCC2)O1)C1=CC=C(F)C=C1)C1=CC=CC=C1
124-30-1,CCCCCCCCCCCCCCCCCCN
188570-78-7,CC\C=C/CCOC(=O)C1CC1
13827-02-6,[F-].[F-].[F-].[K+].[Zn++]
5292-45-5,COC(=O)C1=CC=C(C(=O)OC)C(=C1)[N+]([O-])=O
696-99-1,FB(F)F.NCC1=CC=CC=C1
17270-01-8,O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=C(C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1
10254-57-6,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC
832088-68-3,CC(C)(C(O)=O)C1=CC=C(C=C1)C#CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
138776-88-2,CC(C)(C)C1=CC(=C(OP2OC3=CC=CC=C3C3=C(O2)C=CC=C3)C(=C1)C1=CC(=CC(=C1OP1OC2=CC=CC=C2C2=C(O1)C=CC=C2)C(C)(C)C)C(C)(C)C)C(C)(C)C
835912-68-0,[K+].[K+].[O-]C1=C(NC2=CC=CC=C12)C1=C([O-])C2=CC=CC=C2N1
84418-68-8,[Zn++].CC(C)(C)CCCCCC([O-])=O.CC(C)(C)CCCCCC([O-])=O
74441-05-7,CC(=O)C(N=NC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C(N)=O)C(=O)NC1=CC2=C(NC(=O)N2)C=C1
105112-76-3,NC1=CC(OC2(CC=C(C=C2)C2=CC=CC=C2)OC2=CC=CC(N)=C2)=CC=C1
24851-98-7,CCCCCC1C(CC(=O)OC)CCC1=O
67801-20-1,CC(O)C(C)C=CC1CC=C(C)C1(C)C
10097-02-6,CCC(CO)(CO)C(O)=O
110-17-8,OC(=O)\C=C\C(O)=O
901-44-0,CC(C)(C1=CC=C(OCCO)C=C1)C1=CC=C(OCCO)C=C1
13446-49-6,[O--].[O--].[O--].[O--].[K+].[K+].[Mo+6]
111-76-2,CCCCOCCO
13601-19-9,[Na+].[Na+].[Na+].[Na+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N
75-07-0,CC=O
701920-77-6,CCCCOCCOCCOC(=O)CCC(=O)OCCOCCOCCCC
2052-25-7,[Na+].OC1=CC=C(C=C1N=NC1=CC=C2C(O)=CC=CC2=C1O)S([O-])(=O)=O
77501-63-4,CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O
3089-17-6,ClC1=CC=C2NC3=CC4=C(NC5=CC=C(Cl)C=C5C4=O)C=C3C(=O)C2=C1
