CASRN,Canonical_QSARr
80-26-2,CC1CCC(CC=1)C(C)(C)OC(C)=O
61718-80-7,COCCCCC(=O)C1C=CC(=CC=1)C(F)(F)F
109-88-6,CO
325855-90-1,CCCCCCCCC(COC1C=CC(=CC=1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(C=C1Cl)NC(=O)C1C=C(Cl)C(Cl)=CC=1)CCCCCC
120-55-8,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
1020409-50-0,O=C1CNCC2C3C=CC=CC=3CCN12
894-86-0,OC1=C(NC2C=CC=CC1=2)C1NC2C=CC=CC=2C=1O
56962-04-0,OC1C=C(Br)C=C(Cl)C=1
682-11-1,CCC(COCC=C)(CO)CO
16891-37-5,CCOC(O)=O
92585-24-5,CC(CO)CC(C)C1C=CC=CC=1
667-84-5,CCOCCCNC(=O)C(O)C(C)(C)CO
461432-25-7,CCOC1C=CC(CC2C=C(C=CC=2Cl)C2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)=CC=1
34454-97-2,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
15687-27-1,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
16294-75-0,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43
60924-38-1,CC1(CC(OC(=O)COS(C)(=O)=O)C2(C)C3C(=O)CCC3(CCC2C)C(C)C1O)C=C
52238-92-3,OC1=C(N=NC2=CC(=CC=C2Cl)C(F)(F)F)C2C=CC=CC=2C=C1C(=O)NC1=CC(Cl)=C(C=C1Cl)NC(=O)C1=CC2C=CC=CC=2C(N=NC2=CC(=CC=C2Cl)C(F)(F)F)=C1O
135861-56-2,CC1=CC=C(C=C1C)C1OCC2OC(OC(C2O1)C(O)CO)C1C=C(C)C(C)=CC=1
34451-26-8,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS
17773-41-0,CSCCC(O)C#N
84632-65-5,O=C1N=C(C2C1=C(NC2=O)C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1
93-84-5,[O-][N+](=O)C1C=C2NC(=O)NC2=CC=1
126213-50-1,C1COC2=CSC=C2O1
53201-62-0,OC1C=CC(=CC=1)C(=O)OC1C=CC(=CC=1)OC(=O)C1C=CC(O)=CC=1
1182722-58-2,NC1CC2C3=CC=CC=C3N(CCC(O)=O)C=2CC1
54660-00-3,O=C1N=C(C2C1=C(NC2=O)C1C=CC=CC=1)C1C=CC=CC=1
147126-62-3,CC(C)C1CCC(C)CC1OC(=O)C1OC(O)CS1
52334-81-3,FC(F)(F)C1C=CC(Cl)=NC=1
75-85-4,CCC(C)(C)O
6925-69-5,O=C1C2=CC=CC=C2C2=NC3C=CC=C4C=CC=C(C4=3)N21
