Molecule name,RowID,Original_SMILES,Error
Molecule_957,957,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S([O-])(=O)=O)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1, Size
Molecule_24,24,CC(=O)O[Zr](=O)OC(C)=O, Organometallics
Molecule_150,150,COB1OB(OB(O1)OC)OC, Organometallics
Molecule_436,436,CC(C)C(=O)O[Zr](OC(=O)C(C)C)(OC(=O)C(C)C)OC(=O)C(C)C, Organometallics
Molecule_441,441,C1=CC=CC2=[S][Zn+2]3([O-]N4C=CC=CC4=[S]3)[O-]N21, Organometallics
Molecule_679,679,O[Cu]OC(=O)O[Cu]O, Organometallics
Molecule_784,784,CC(C)O[Al]=O, Organometallics
Molecule_805,805,C1CO[Sb]2OCCO[Sb](O1)OCCO2, Organometallics
Molecule_935,935,O=C1O[Mn]OC1=O, Organometallics
Molecule_938,938,CC[Al](CC)CC, Organometallics
Molecule_951,951,CCCCCCCC[Sn](=O)CCCCCCCC, Organometallics
Molecule_1149,1149,ClC1C2C(=C3N=C4N=C(N=C5C6=C(C7=NC8=NC(=NC=2N3[Cu]N75)C2=C8C(Br)=C(Cl)C(Cl)=C2Cl)C(Cl)=C(Br)C(Cl)=C6Br)C2=C4C(Cl)=C(Cl)C(Br)=C2Cl)C(Br)=C(Cl)C=1Br, Organometallics
Molecule_1527,1527,O[Zr](=O)OC(=O)O[Zr](O)=O, Organometallics
Molecule_1603,1603,CC(C)O[Ti](OC(C)C)(OC(C)C)OC(C)C, Organometallics
Molecule_1767,1767,CCO[Ti](OCC)(OCC)OCC, Organometallics
Molecule_1869,1869,[Cr]#C[Cr]C#[Cr], Organometallics
Molecule_1883,1883,CC1C=[C-](C=C1)[Mn+]([C-]#[O+])([C-]#[O+])[C-]#[O+], Organometallics
Molecule_1904,1904,CC(C)(C)CCC(C)(C)C(=O)O[Sn](CCCCCCCC)(CCCCCCCC)OC(=O)C(C)(C)CCC(C)(C)C, Organometallics
Molecule_1936,1936,CCCCCCCC[Sn]1(CCCCCCCC)OC(=O)CS1, Organometallics
Molecule_1967,1967,C[Sn](C)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1984,1984,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC, Organometallics
Molecule_2251,2251,CCCCCCCC[Sn](CCCCCCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_2320,2320,OC(CO)C(O)C(O)C(O)C(=O)O[Fe]OC(=O)C(O)C(O)C(O)C(O)CO, Organometallics
Molecule_2346,2346,O[Bi]1OC2=CC=CC=C2C(=O)O1, Organometallics
Molecule_2347,2347,CC(C)CCCCCOP1(OC(C)CC)[S-][Zn+2]2([S-]P(OC(C)CC)(OCCCCCC(C)C)=[S]2)[S]=1, Organometallics
Molecule_2472,2472,C[Sn](C)(Cl)Cl, Organometallics
Molecule_2474,2474,CC(=CC(=O)OCC)O[Ti](OC(C)=CC(=O)OCC)(OC(C)C)OC(C)C, Organometallics
Molecule_176,176,[Na+].[Na+].[Na+].[Na+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N, Organometallics
Molecule_704,704,O.CCCCCCCCCCCCCCCCCC(=O)O[AlH]OC(=O)C1C=CC=CC=1, Organometallics
Molecule_43,43,CCC1C=CC=CC=1.CC%91.[*]%91, Mixture
Molecule_131,131,[Na+].C%91.[*]%91.C1C=CC=C2[N-]N=NC2=1, Mixture
Molecule_292,292,Cl.NC(=N)[O-].OC[P+](CO)(CO)CO, Mixture
Molecule_309,309,NCCCCCCN.OC(=O)CCCCCCCCC(O)=O, Mixture
Molecule_334,334,COC1C=C(O)C(=CC=1S([O-])(=O)=O)C(=O)C1C=CC=CC=1.ClC1C=CC(=CC=1)[S+](C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1, Mixture
