Molecule name,Salt_Solvent_ID
Molecule_1,0
Molecule_2,0
Molecule_3,120
Molecule_4,0
Molecule_5,0
Molecule_6,2041
Molecule_7,110
Molecule_8,0
Molecule_9,0
Molecule_10,120
Molecule_11,0
Molecule_14,0
Molecule_15,0
Molecule_16,0
Molecule_18,0
Molecule_19,0
Molecule_20,0
Molecule_22,0
Molecule_23,0
Molecule_25,0
Molecule_26,0
Molecule_27,0
Molecule_28,0
Molecule_29,0
Molecule_30,0
Molecule_33,0
Molecule_34,0
Molecule_35,0
Molecule_37,0
Molecule_39,0
Molecule_41,0
Molecule_42,0
Molecule_45,0
Molecule_46,0
Molecule_47,30
Molecule_48,0
Molecule_49,0
Molecule_50,0
Molecule_52,0
Molecule_53,0
Molecule_54,0
Molecule_55,0
Molecule_56,0
Molecule_57,110
Molecule_58,0
Molecule_59,0
Molecule_60,300
Molecule_61,200
Molecule_62,190
Molecule_63,225
Molecule_64,0
Molecule_65,0
Molecule_67,0
Molecule_68,0
Molecule_69,0
Molecule_70,200
Molecule_71,300
Molecule_72,170
Molecule_73,0
Molecule_74,0
Molecule_75,0
Molecule_76,0
Molecule_77,0
Molecule_78,0
Molecule_79,0
Molecule_80,110
Molecule_81,155
Molecule_82,0
Molecule_83,0
Molecule_84,0
Molecule_85,0
Molecule_86,0
Molecule_87,110
Molecule_88,70
Molecule_89,110
Molecule_90,110
Molecule_91,0
Molecule_92,110
Molecule_93,0
Molecule_94,0
Molecule_95,300
Molecule_96,0
Molecule_97,0
Molecule_98,110
Molecule_99,0
Molecule_100,0
Molecule_101,0
Molecule_102,0
Molecule_104,0
Molecule_105,110
Molecule_106,170
Molecule_107,0
Molecule_108,0
Molecule_110,110
Molecule_112,120
Molecule_113,2292
Molecule_114,0
Molecule_115,0
Molecule_116,0
Molecule_117,0
Molecule_118,0
Molecule_119,0
Molecule_120,0
Molecule_122,0
Molecule_123,0
Molecule_124,0
Molecule_125,0
Molecule_126,0
Molecule_127,0
Molecule_128,0
Molecule_129,0
Molecule_130,110
Molecule_133,70
Molecule_134,0
Molecule_135,0
Molecule_136,0
Molecule_137,110
Molecule_138,0
Molecule_140,0
Molecule_141,0
Molecule_142,0
Molecule_143,830
Molecule_144,0
Molecule_146,0
Molecule_147,60
Molecule_148,280
Molecule_149,0
Molecule_151,0
Molecule_152,0
Molecule_153,0
Molecule_154,110
Molecule_155,0
Molecule_156,0
Molecule_157,0
Molecule_159,0
Molecule_160,1774
Molecule_161,0
Molecule_162,0
Molecule_163,0
Molecule_164,0
Molecule_165,190
Molecule_166,300
Molecule_167,0
Molecule_168,0
Molecule_169,0
Molecule_170,0
Molecule_171,0
Molecule_172,0
Molecule_173,0
Molecule_175,0
Molecule_177,0
Molecule_178,0
Molecule_179,110
Molecule_180,0
Molecule_181,0
Molecule_182,560
Molecule_183,0
Molecule_184,0
Molecule_186,0
Molecule_187,0
Molecule_188,0
Molecule_189,0
Molecule_190,0
Molecule_191,0
Molecule_192,0
Molecule_193,170
Molecule_194,30
Molecule_195,560
Molecule_196,0
Molecule_197,0
Molecule_198,110
Molecule_201,4155
Molecule_202,0
Molecule_203,110
Molecule_204,30
Molecule_205,0
Molecule_206,0
Molecule_207,0
Molecule_208,0
Molecule_209,0
Molecule_210,560
Molecule_211,0
Molecule_212,0
Molecule_213,0
Molecule_214,0
Molecule_215,0
Molecule_216,0
Molecule_217,0
Molecule_218,0
Molecule_219,170
Molecule_220,0
Molecule_221,0
Molecule_223,0
Molecule_224,0
Molecule_226,0
Molecule_227,190
Molecule_228,0
Molecule_231,0
Molecule_232,0
Molecule_233,0
Molecule_234,0
Molecule_235,170
