RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID
1,Molecule_1,CC1CCC(CC=1)C(C)(C)OC(C)=O,1,CC1CCC(CC=1)C(C)(C)OC(C)=O,InChI=1S/C12H20O2/c1-9-5-7-11(8-6-9)12(34)14-10(2)13/h511H6-8H21-4H3,IGODOXYLBBXFDW-UHFFFAOYSA-N,,0
2,Molecule_2,COCCCCC(=O)C1C=CC(=CC=1)C(F)(F)F,1,COCCCCC(=O)C1C=CC(=CC=1)C(F)(F)F,InChI=1S/C13H15F3O2/c1-18-9-3-2-4-12(17)10-5-7-11(8-6-10)13(1415)16/h5-8H2-49H21H3,VYKSRLDHXQURKA-UHFFFAOYSA-N,,0
3,Molecule_3,[Mg+2].C[O-].C[O-],3,CO,InChI=1S/CH4O/c1-2/h2H1H3,OKKJLVBELUTLKV-UHFFFAOYSA-N,[Mg+2],120
4,Molecule_4,CCCCCCCCC(COC1C=CC(=CC=1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(C=C1Cl)NC(=O)C1C=C(Cl)C(Cl)=CC=1)CCCCCC,1,CCCCCCCCC(COC1C=CC(=CC=1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(C=C1Cl)NC(=O)C1C=C(Cl)C(Cl)=CC=1)CCCCCC,InChI=1S/C39H51Cl3N2O6S/c1-4-7-9-11-12-14-16-27(15-13-10-8-5-2)26-50-29-18-20-30(21-19-29)51(4849)37(6-3)39(47)43-34-25-36(45)35(24-33(34)42)44-38(46)28-17-22-31(40)32(41)23-28/h17-25273745H4-1626H21-3H3(H4347)(H4446),OTSLJUWXGHUZEG-UHFFFAOYSA-N,,0
5,Molecule_5,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,1,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,InChI=1S/C18H18O5/c19-17(15-7-3-1-4-8-15)22-13-11-21-12-14-23-18(20)16-9-5-2-6-10-16/h1-10H11-14H2,NXQMCAOPTPLPRL-UHFFFAOYSA-N,,0
6,Molecule_6,[O-]P(O)(O)=O.[O-]P(O)(O)=O.O=C1C[NH2+]CC2C3C=CC=CC=3CC[NH+]12,3,O=C1CNCC2C3C=CC=CC=3CCN12,InChI=1S/C12H14N2O/c15-12-8-13-7-11-10-4-2-1-3-9(10)5-6-14(11)12/h1-41113H5-8H2,GTRDOUXISKJZGL-UHFFFAOYSA-N,[O-]P(=O)(O)O,2041
7,Molecule_7,[Na+].[Na+].[O-]C1=C(NC2=CC=CC=C12)C1NC2=CC=CC=C2C=1[O-],3,OC1=C(NC2C=CC=CC1=2)C1NC2C=CC=CC=2C=1O,InChI=1S/C16H12N2O2/c19-15-9-5-1-3-7-11(9)17-13(15)14-16(20)10-6-2-4-8-12(10)18-14/h1-817-20H,VIFKLIUAPGUEBV-UHFFFAOYSA-N,[Na+],110
8,Molecule_8,OC1C=C(Br)C=C(Cl)C=1,1,OC1C=C(Br)C=C(Cl)C=1,InChI=1S/C6H4BrClO/c7-4-1-5(8)3-6(9)2-4/h1-39H,GMGWXLPFRHYWAS-UHFFFAOYSA-N,,0
9,Molecule_9,CCC(COCC=C)(CO)CO,1,CCC(COCC=C)(CO)CO,InChI=1S/C9H18O3/c1-3-5-12-8-9(4-26-10)7-11/h310-11H14-8H22H3,LZDXRPVSAKWYDH-UHFFFAOYSA-N,,0
10,Molecule_10,[Mg+2].CCOC([O-])=O.CCOC([O-])=O,3,CCOC(O)=O,InChI=1S/C3H6O3/c1-2-6-3(4)5/h2H21H3(H45),CQDGTJPVBWZJAZ-UHFFFAOYSA-N,[Mg+2],120
11,Molecule_11,CC(CO)CC(C)C1C=CC=CC=1,1,CC(CO)CC(C)C1C=CC=CC=1,InChI=1S/C12H18O/c1-10(9-13)8-11(2)12-6-4-3-5-7-12/h3-710-1113H8-9H21-2H3,SXGYZCMGVZKIPJ-UHFFFAOYSA-N,,0
14,Molecule_14,CCOCCCNC(=O)C(O)C(C)(C)CO,1,CCOCCCNC(=O)C(O)C(C)(C)CO,InChI=1S/C11H23NO4/c1-4-16-7-5-6-12-10(15)9(14)11(23)8-13/h913-14H4-8H21-3H3(H1215),MRAMPOPITCOOIN-UHFFFAOYSA-N,,0
15,Molecule_15,CCOC1C=CC(CC2C=C(C=CC=2Cl)C2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)=CC=1,1,CCOC1C=CC(CC2C=C(C=CC=2Cl)C2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)=CC=1,InChI=1S/C29H33ClO10/c1-6-35-23-10-7-20(8-11-23)13-22-14-21(9-12-24(22)30)26-28(38-18(4)33)29(39-19(5)34)27(37-17(3)32)25(40-26)15-36-16(2)31/h7-121425-29H61315H21-5H3,DKOQYKRDCDCNOR-UHFFFAOYSA-N,,0
16,Molecule_16,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,InChI=1S/C7H8F9NO3S/c1-17(2-3-18)21(1920)7(1516)5(1011)4(89)6(1213)14/h18H2-3H21H3,DSRUAYIFDCHEEV-UHFFFAOYSA-N,,0
18,Molecule_18,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,1,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-79-10H8H21-3H3(H1415),HEFNNWSXXWATRW-UHFFFAOYSA-N,,0
19,Molecule_19,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43,1,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43,InChI=1S/C23H12OS/c24-23-17-7-2-1-5-13(17)15-11-12-20-22-16(9-10-18(23)21(15)22)14-6-3-4-8-19(14)25-20/h1-12H,NVNWZZLOQBHTCW-UHFFFAOYSA-N,,0
20,Molecule_20,CC1(CC(OC(=O)COS(C)(=O)=O)C2(C)C3C(=O)CCC3(CCC2C)C(C)C1O)C=C,1,CC1(CC(OC(=O)COS(C)(=O)=O)C2(C)C3C(=O)CCC3(CCC2C)C(C)C1O)C=C,InChI=1S/C23H36O7S/c1-7-21(4)12-17(30-18(25)13-29-31(627)28)22(5)14(2)8-10-23(15(3)20(21)26)11-9-16(24)19(22)23/h714-151719-2026H18-13H22-6H3,IKVZCNHNKCXZHZ-UHFFFAOYSA-N,,0
