CASRN,SMILES
1655500-83-6,CC(CC=C(C)C)C1CC1(C)CO
109-88-6,[Mg++].C[O-].C[O-]
77-78-1,COS(=O)(=O)OC
2082-81-7,CC(=C)C(=O)OCCCCOC(=O)C(C)=C
75-33-2,CC(C)S
16958-92-2,CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC
4156-21-2,[Na+].[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1
14024-48-7,CC1=[O][Co++]2([O]=C(C)[CH-]1)[O]=C(C)[CH-]C(C)=[O]2
16891-37-5,[Mg++].CCOC([O-])=O.CCOC([O-])=O
106-26-3,CC(C)=CCC\C(C)=C/C=O
521284-22-0,Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1
159325-45-8,C[C@]12CCC3C(CCC4C[C@@H]5O[C@@H]5C[C@]34C)C1C[C@H](N1CCCC1)C2=O
12054-48-7,[OH-].[OH-].[Ni++]
16294-75-0,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C34
66654-01-1,CN(C)CCCNC(=O)CCCCCCCCC=C
56677-60-2,CCCCCCCCCCCCCCOC(Cl)=O
84592-32-5,[Br-].CC(=CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C=CC1=C(C)C(=O)C(O)CC1(C)C
88-17-5,NC1=C(C=CC=C1)C(F)(F)F
1369500-14-0,[H][C@]12CC[C@]([H])(C1=C(Cl)Cl)[C@@]1([H])C(=O)CCC(=O)[C@@]21[H]
71-48-7,[Co++].CC([O-])=O.CC([O-])=O
1308-14-1,O[Cr](O)O
5307-14-2,NC1=CC(=C(N)C=C1)[N+]([O-])=O
2451-62-9,O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1
117-08-8,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl
5026-74-4,C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1
393-85-1,COC(=O)C1=C(C=CC(F)=C1)[N+]([O-])=O
117172-56-2,CO[Si](CCCS)(OC)OC.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
1195231-94-7,CCO[Si](CCCNC(=O)OCCN(CC)C1=CC=C(C=C1)N=O)(OCC)OCC
822-06-0,O=C=NCCCCCCN=C=O
60-24-2,OCCS
104617-49-4,NC1CCC2=C(C1)SC(=N)N2
1066-30-4,[Cr+3].CC([O-])=O.CC([O-])=O.CC([O-])=O
1300-71-6,"C*.C*.OC1=CC=CC=C1 |c:5,7,t:3,lp:4:2,m:1:9.10,3:6.7.8.9|"
24887-06-7,[Zn++].OCS([O-])=O.OCS([O-])=O
58909-56-1,[H][C@@]1(N)C(=O)N2C(C(O)=O)=C(CSC3=NC(=O)C(=O)NN3C)CSC12[H]
897671-34-0,COC(=O)C1=CSC(C)=C1S(=O)(=O)N=C=O
7195-44-0,O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1
3164-34-9,[Ca++].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O
82654-98-6,CCCCOCC1=CC=C(O)C(OC)=C1
7789-80-2,[O--].[O--].[O--].[O--].[O--].[O--].[Ca++].[I-].[I-]
866607-35-4,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)C1=CC(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C(C)C=C1
89452-37-9,F[Sb-](F)(F)(F)(F)F.F[Sb-](F)(F)(F)(F)F.S(C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1
