CASRN,Canonical_QSARr
1655500-83-6,CC(CC=C(C)C)C1CC1(C)CO
109-88-6,CO
77-78-1,COS(=O)(=O)OC
2082-81-7,CC(=C)C(=O)OCCCCOC(=O)C(C)=C
75-33-2,CC(C)S
16958-92-2,CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC
4156-21-2,OS(=O)(=O)C1C=CC(=CC=1)NC1N=C(Cl)N=C(Cl)N=1
16891-37-5,CCOC(O)=O
106-26-3,CC(C)=CCCC(C)=CC=O
521284-22-0,NC1=CC=C(CCNCC(O)C2C=CC=CC=2)C=C1
159325-45-8,CC12CCC3C(CCC4CC5OC5CC43C)C1CC(C2=O)N1CCCC1
16294-75-0,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43
66654-01-1,CN(C)CCCNC(=O)CCCCCCCCC=C
56677-60-2,CCCCCCCCCCCCCCOC(=O)Cl
84592-32-5,CC1C(=O)C(O)CC(C)(C)C=1C=CC(C)=CCP(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1
88-17-5,NC1C=CC=CC=1C(F)(F)F
1369500-14-0,O=C1CCC(=O)C2C3CCC(C12)C3=C(Cl)Cl
71-48-7,CC(O)=O
5307-14-2,NC1=CC(=C(N)C=C1)[N+]([O-])=O
2451-62-9,O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1
117-08-8,O=C1OC(=O)C2C1=C(Cl)C(Cl)=C(Cl)C=2Cl
5026-74-4,C(C1CO1)N(CC1CO1)C1C=CC(=CC=1)OCC1CO1
393-85-1,COC(=O)C1C=C(F)C=CC=1[N+]([O-])=O
1195231-94-7,CCN(CCOC(=O)NCCC[Si](OCC)(OCC)OCC)C1C=CC(=CC=1)N=O
822-06-0,O=C=NCCCCCCN=C=O
60-24-2,OCCS
104617-49-4,NC1CC2SC(=N)N=C2CC1
24887-06-7,OCS(O)=O
