Molecule name,RowID,Original_SMILES,Error
Molecule_220,220,CC1(C)CC(CC(C)(C)N1C)N(CCCC)C1N=C(N=C(N=1)N(CCN(CCCNC1N=C(N=C(N=1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)C1=NC(=NC(=N1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)CCCNC1N=C(N=C(N=1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1)N(CCCC)C1CC(C)(C)N(C)C(C)(C)C1, Size
Molecule_932,932,CC1(C)CC(CC(C)(C)N1)N(CCCC)C1=NC(=NC(=N1)N(CCCCCCN(C1CC(C)(C)NC(C)(C)C1)C1=NC(=NC(=N1)N(CCCC)C1CC(C)(C)NC(C)(C)C1)N(CCCC)C1CC(C)(C)NC(C)(C)C1)C1CC(C)(C)NC(C)(C)C1)N(CCCC)C1CC(C)(C)NC(C)(C)C1, Size
Molecule_1535,1535,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S([O-])(=O)=O)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1)NC1N=C(NC2C=C(C=C3C=C(C(N=NC4C=CC=CC=4)=C(O)C3=2)S([O-])(=O)=O)S([O-])(=O)=O)N=C(N=1)N1CCOCC1, Size
Molecule_63,63,CCCC[Sn](CCCC)(OC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC, Organometallics
Molecule_263,263,CCCC[Sn](CCCC)(SCCCCCCCCCCCC)SCCCCCCCCCCCC, Organometallics
Molecule_316,316,CC(=O)[CH-]C(C)=[O+][Al]([O+]=C(C)[CH-]C(C)=O)[O+]=C(C)[CH-]C(C)=O, Organometallics
Molecule_355,355,COC(=O)C=CC(=O)O[Sn](CCCC)(CCCC)OC(=O)C=CC(=O)OC, Organometallics
Molecule_362,362,CCCCC(COC(=O)CS[Sn](CCCC)(CCCC)SCC(=O)OCC(CCCC)CC)CC, Organometallics
Molecule_407,407,CCCCO[Sn](CCCC)(CCCC)OCCCC, Organometallics
Molecule_448,448,CC(C)CCCCCCCCCCOC(=O)CCS[Sn](CCCC)(CCCC)SCCC(=O)OCCCCCCCCCCC(C)C, Organometallics
Molecule_454,454,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC, Organometallics
Molecule_461,461,CCCC[Sn](Cl)(Cl)CCCC, Organometallics
Molecule_494,494,C[Sn](C)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_519,519,CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC, Organometallics
Molecule_537,537,O=[Cr](=O)(O[Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)O[Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_572,572,CC(=C)C(=O)O[Zn]O, Organometallics
Molecule_579,579,CC(=O)O[Sn](CCCC)(CCCC)OC(C)=O, Organometallics
Molecule_699,699,CCCCCCCC[Sn](CCCCCCCC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_740,740,CO[Sn](CCCC)(CCCC)OC, Organometallics
Molecule_745,745,CCCC[Sn]1(CCCC)OC(=O)C=CC(=O)O1, Organometallics
Molecule_852,852,O[Bi]1OC2=CC=CC=C2C(=O)O1, Organometallics
Molecule_858,858,C[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_866,866,CCCCCCCC[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_875,875,CCCC[Sn](SCC(=O)OCC(CCCC)CC)(SCC(=O)OCC(CCCC)CC)SCC(=O)OCC(CCCC)CC, Organometallics
Molecule_1006,1006,CCOC(=O)C(C(C)=O)[Ti]1(OCCCO1)C(C(C)=O)C(C)=O, Organometallics
Molecule_1015,1015,CCCC[Sn](CCCC)(CCCC)CCCC, Organometallics
Molecule_1910,1910,CC(C)CCCCCCC(=O)O[Ni]OC(=O)C(CCCC)CC, Organometallics
Molecule_1911,1911,CC(C)CCCCCC(=O)O[Ni]OC(=O)C(CCCC)CC, Organometallics
Molecule_1912,1912,CCC(CCCC)C(=O)O[Ni]OC(=O)CCCCCC(C)(C)C, Organometallics
Molecule_1931,1931,CC(C)CCCCCCC(=O)O[Ni]OC(=O)CCCCCC(C)C, Organometallics
Molecule_1932,1932,CC(C)CCCCCCC(=O)O[Ni]OC(=O)CCCCC(C)C, Organometallics
Molecule_1933,1933,CC(C)CCCCC(=O)O[Ni]OC(=O)CCCCCC(C)C, Organometallics
Molecule_1934,1934,CC(C)CCCCCC(=O)O[Ni]OC(=O)CCCCCC(C)(C)C, Organometallics
Molecule_1935,1935,CC(C)CCCCC(=O)O[Ni]OC(=O)CCCCCC(C)(C)C, Organometallics
Molecule_2211,2211,CC(C)(C)[N-]1[Si](C)(C)[C-]23[C]4(C)=[C]5(C)[C]6(C)=[C]2(C)[Ti+2]27856431[CH2]=[CH]2[CH]7=[CH]8C, Organometallics
Molecule_2217,2217,CC(=O)O[Hg]C1C=CC=CC=1, Organometallics
Molecule_2355,2355,N#C[Hg]O[Hg]C#N, Organometallics
Molecule_2410,2410,CC(=O)O[Sn](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1, Organometallics
Molecule_2467,2467,N#C[Hg]C#N, Organometallics
Molecule_2626,2626,[O-][N+](=O)O[Hg]C1C=CC=CC=1, Organometallics
Molecule_2716,2716,CC[Al](CC)CC, Organometallics
Molecule_2736,2736,C1=CC=CC2=[S][Zn+2]3([O-]N4C=CC=CC4=[S]3)[O-]N21, Organometallics
Molecule_1012,1012,[K+].N#C[Au-]C#N, Organometallics
Molecule_1602,1602,[K+].[K+].O=C1O[Sb-]23OC(=O)C(O2)C2O[Sb-]4(OC(=O)C(O4)C1O3)OC2=O, Organometallics
Molecule_2340,2340,CCCC[Sn+2]CCCC.[O-]B([O-])O, Organometallics
Molecule_2701,2701,[Na+].CC[Hg]SC1C=CC=CC=1C([O-])=O, Organometallics
Molecule_2334,2334,[NH4+].[NH4+].[Ni+2].N#[C-][Fe+2]([C-]#N)([C-]#N)([C-]#N)([C-]#N)[C-]#N, Organometallics
Molecule_27,27,CC1(C)CC(CC(C)(C1)CN=C=O)N=C=O.CO[Si](CCCS)(OC)OC, Mixture
Molecule_33,33,C%91.C%92.OC1C=CC=CC=1.[*]%91.[*]%92, Mixture
Molecule_93,93,OC(=O)C1=CC2=C(C=C1)C(=O)OC2=O.OCCO, Mixture
Molecule_167,167,Cl.NC(=N)[O-].OC[P+](CO)(CO)CO, Mixture
Molecule_187,187,COC1C=C(O)C(=CC=1S([O-])(=O)=O)C(=O)C1C=CC=CC=1.ClC1C=CC(=CC=1)[S+](C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1, Mixture
Molecule_538,538,[Na+].[Na+].[Na+].[Na+].CC(=O)NC1C=CC(=C2C=C(C=C(O)C2=1)S([O-])(=O)=O)S([O-])(=O)=O.[O-]S(=O)(=O)C1C=CC(=CC=1)N=NC1C=CC=C2C=C(C=CC2=1)S([O-])(=O)=O, Mixture
Molecule_561,561,COC1(OC(CO)C(O)C(O)C1O)C1=CC(CC2C=CC(=CC=2)OCC)=C(Cl)C=C1.OCC#CCO, Mixture
Molecule_581,581,[Cu+2].CCN(CC%91)CC.CCN(CC%92)CC.CCN(CC%93)CC.[*]%91.[*]%93.[*]%92.C1=CC=CC2=C3[N-]C(N=C4N=C(N=C5[N-]C(=NC6=NC(=N3)C3=CC=CC=C36)C3=CC=CC=C35)C3=CC=CC=C34)=C21, Mixture
Molecule_736,736,[Sn+4].[CH2-]CCCCCCC.[CH2-]CCCCCCC.CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O, Mixture
Molecule_752,752,[*]C1C=CC=CC=1.C1=CC=CC=C1C1C=CC=CC=1, Mixture
Molecule_809,809,[NH2+]=C(NC1C=CC=CC=1)NC1C=CC=CC=1.[O-]S(=O)(=O)C1=CC(=CC=C1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1, Mixture
Molecule_926,926,CCCCCNCCCCC.CCCCCN(CCCCC)C(S)=S, Mixture
