Molecule name,Salt_Solvent_ID
Molecule_1,0
Molecule_2,120
Molecule_3,0
Molecule_4,0
Molecule_5,0
Molecule_6,0
Molecule_7,110
Molecule_9,120
Molecule_10,0
Molecule_11,170
Molecule_12,0
Molecule_14,0
Molecule_15,0
Molecule_16,0
Molecule_17,350
Molecule_18,0
Molecule_19,0
Molecule_20,270
Molecule_22,0
Molecule_23,0
Molecule_24,0
Molecule_25,0
Molecule_26,0
Molecule_28,0
Molecule_29,0
Molecule_30,0
Molecule_31,0
Molecule_32,240
Molecule_34,300
Molecule_35,0
Molecule_36,0
Molecule_37,0
Molecule_38,200
Molecule_39,0
Molecule_41,0
Molecule_42,3156
Molecule_43,170
Molecule_44,170
Molecule_45,0
Molecule_46,0
Molecule_47,0
Molecule_49,0
Molecule_50,0
Molecule_51,0
Molecule_52,0
Molecule_53,0
Molecule_54,0
Molecule_55,0
Molecule_56,0
Molecule_57,0
Molecule_58,0
Molecule_59,110
Molecule_60,110
Molecule_61,0
Molecule_62,0
Molecule_64,0
Molecule_65,0
Molecule_66,1768
Molecule_67,0
Molecule_68,0
Molecule_69,0
Molecule_70,0
Molecule_71,0
Molecule_72,0
Molecule_73,0
Molecule_74,0
Molecule_75,280
Molecule_76,0
Molecule_77,110
Molecule_78,0
Molecule_80,0
Molecule_82,0
Molecule_83,0
Molecule_84,0
Molecule_85,0
Molecule_86,0
Molecule_87,0
Molecule_88,0
Molecule_89,0
Molecule_90,0
Molecule_91,0
Molecule_92,0
Molecule_94,0
Molecule_95,0
Molecule_96,0
Molecule_97,110
Molecule_98,0
Molecule_99,170
Molecule_100,0
Molecule_101,0
Molecule_102,0
Molecule_103,0
Molecule_104,110
Molecule_105,0
Molecule_106,3533
Molecule_107,0
Molecule_109,0
Molecule_110,0
Molecule_111,0
Molecule_112,0
Molecule_113,0
Molecule_114,0
Molecule_115,0
Molecule_116,0
Molecule_117,0
Molecule_118,0
Molecule_119,0
Molecule_120,0
Molecule_121,0
Molecule_122,1652
Molecule_123,190
Molecule_124,0
Molecule_125,0
Molecule_126,0
Molecule_127,0
Molecule_128,0
Molecule_129,170
Molecule_130,110
Molecule_131,0
Molecule_132,0
Molecule_133,0
Molecule_134,0
Molecule_135,0
Molecule_136,0
Molecule_137,0
Molecule_138,1779
Molecule_139,0
Molecule_140,170
Molecule_142,0
Molecule_143,0
Molecule_144,110
Molecule_145,0
Molecule_146,0
Molecule_147,0
Molecule_148,0
Molecule_149,0
Molecule_150,0
Molecule_151,0
Molecule_152,170
Molecule_153,0
Molecule_154,0
Molecule_155,0
Molecule_156,0
