RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID
1,Molecule_1,CC(CC=C(C)C)C1CC1(C)CO,1,CC(CC=C(C)C)C1CC1(C)CO,InChI=1S/C12H22O/c1-9(2)5-6-10(3)11-7-12(114)8-13/h510-1113H6-8H21-4H3,FZLOGXXTGWFQFP-UHFFFAOYSA-N,,0
2,Molecule_2,[Mg+2].C[O-].C[O-],3,CO,InChI=1S/CH4O/c1-2/h2H1H3,OKKJLVBELUTLKV-UHFFFAOYSA-N,[Mg+2],120
3,Molecule_3,COS(=O)(=O)OC,1,COS(=O)(=O)OC,InChI=1S/C2H6O4S/c1-5-7(34)6-2/h1-2H3,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,,0
4,Molecule_4,CC(=C)C(=O)OCCCCOC(=O)C(C)=C,1,CC(=C)C(=O)OCCCCOC(=O)C(C)=C,InChI=1S/C12H18O4/c1-9(2)11(13)15-7-5-6-8-16-12(14)10(3)4/h135-8H224H3,XOJWAAUYNWGQAU-UHFFFAOYSA-N,,0
5,Molecule_5,CC(C)S,1,CC(C)S,InChI=1S/C3H8S/c1-3(2)4/h3-4H1-2H3,KJRCEJOSASVSRA-UHFFFAOYSA-N,,0
6,Molecule_6,CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,1,CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,InChI=1S/C32H62O4/c1-3-5-7-9-11-13-15-17-19-21-25-29-35-31(33)27-23-24-28-32(34)36-30-26-22-20-18-16-14-12-10-8-6-4-2/h3-30H21-2H3,LZJUZSYHFSVIGJ-UHFFFAOYSA-N,,0
7,Molecule_7,[Na+].[O-]S(=O)(=O)C1C=CC(=CC=1)NC1N=C(Cl)N=C(Cl)N=1,2,OS(=O)(=O)C1C=CC(=CC=1)NC1N=C(Cl)N=C(Cl)N=1,InChI=1S/C9H6Cl2N4O3S/c10-7-13-8(11)15-9(14-7)12-5-1-3-6(4-2-5)19(1617)18/h1-4H(H161718)(H12131415),JDBGDMZILOWAHV-UHFFFAOYSA-N,[Na+],110
9,Molecule_9,[Mg+2].CCOC([O-])=O.CCOC([O-])=O,3,CCOC(O)=O,InChI=1S/C3H6O3/c1-2-6-3(4)5/h2H21H3(H45),CQDGTJPVBWZJAZ-UHFFFAOYSA-N,[Mg+2],120
10,Molecule_10,CC(C)=CCCC(C)=CC=O,1,CC(C)=CCCC(C)=CC=O,InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h57-8H46H21-3H3,WTEVQBCEXWBHNA-UHFFFAOYSA-N,,0
11,Molecule_11,Cl.NC1=CC=C(CCNCC(O)C2C=CC=CC=2)C=C1,2,NC1=CC=C(CCNCC(O)C2C=CC=CC=2)C=C1,InChI=1S/C16H20N2O/c17-15-8-6-13(7-9-15)10-11-18-12-16(19)14-4-2-1-3-5-14/h1-91618-19H10-1217H2,TUAHDMSPHZSMQN-UHFFFAOYSA-N,Cl,170
12,Molecule_12,CC12CCC3C(CCC4CC5OC5CC43C)C1CC(C2=O)N1CCCC1,1,CC12CCC3C(CCC4CC5OC5CC43C)C1CC(C2=O)N1CCCC1,InChI=1S/C23H35NO2/c1-22-8-7-16-15(6-5-14-11-19-20(26-19)13-23(1416)2)17(22)12-18(21(22)25)24-9-3-4-10-24/h14-20H3-13H21-2H3,ZZMJTNMGPPBIOY-UHFFFAOYSA-N,,0
14,Molecule_14,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43,1,O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C43,InChI=1S/C23H12OS/c24-23-17-7-2-1-5-13(17)15-11-12-20-22-16(9-10-18(23)21(15)22)14-6-3-4-8-19(14)25-20/h1-12H,NVNWZZLOQBHTCW-UHFFFAOYSA-N,,0
