INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,CASRN,INCHIKEY,INCHI_STRING,IUPAC_NAME
68186-95-8,CASRN,DTXSID0097378,C.I. Pigment Blue 71,N/A,68186-95-8,N/A,N/A,N/A
12031-95-7,CASRN,DTXSID601335062,Lithium titanium oxide (Li4Ti5O12),N/A,12031-95-7,N/A,N/A,N/A
80-26-2,CASRN,DTXSID2026496,alpha-Terpinyl acetate,CC(=O)OC(C)(C)C1CCC(C)=CC1,80-26-2,IGODOXYLBBXFDW-UHFFFAOYSA-N,"InChI=1/C12H20O2/c1-9-5-7-11(8-6-9)12(3,4)14-10(2)13/h5,11H,6-8H2,1-4H3
",2-(4-Methylcyclohex-3-en-1-yl)propan-2-yl acetate
61718-80-7,CASRN,DTXSID60210724,Fluvoxketone,COCCCCC(=O)C1=CC=C(C=C1)C(F)(F)F,61718-80-7,VYKSRLDHXQURKA-UHFFFAOYSA-N,"InChI=1S/C13H15F3O2/c1-18-9-3-2-4-12(17)10-5-7-11(8-6-10)13(14,15)16/h5-8H,2-4,9H2,1H3
",5-Methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one
109-88-6,CASRN,DTXSID50890493,"Methanol, magnesium salt (2:1)",[Mg++].C[O-].C[O-],109-88-6,CRGZYKWWYNQGEC-UHFFFAOYSA-N,"InChI=1S/2CH3O.Mg/c2*1-2;/h2*1H3;/q2*-1;+2
",Magnesium dimethoxide
325855-90-1,CASRN,DTXSID901106951,"3,4-Dichloro-N-[5-chloro-4-[[2-[[4-[(2-hexyldecyl)oxy]phenyl]sulfonyl]-1-oxobutyl]amino]-2-hydroxyphenyl]benzamide",CCCCCCCCC(CCCCCC)COC1=CC=C(C=C1)S(=O)(=O)C(CC)C(=O)NC1=CC(O)=C(NC(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1Cl,325855-90-1,OTSLJUWXGHUZEG-UHFFFAOYNA-N,"InChI=1/C39H51Cl3N2O6S/c1-4-7-9-11-12-14-16-27(15-13-10-8-5-2)26-50-29-18-20-30(21-19-29)51(48,49)37(6-3)39(47)43-34-25-36(45)35(24-33(34)42)44-38(46)28-17-22-31(40)32(41)23-28/h17-25,27,37,45H,4-16,26H2,1-3H3,(H,43,47)(H,44,46)
",N/A
120-55-8,CASRN,DTXSID0026967,Diethylene glycol dibenzoate,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,120-55-8,NXQMCAOPTPLPRL-UHFFFAOYSA-N,"InChI=1S/C18H18O5/c19-17(15-7-3-1-4-8-15)22-13-11-21-12-14-23-18(20)16-9-5-2-6-10-16/h1-10H,11-14H2
","Oxydi(ethane-2,1-diyl) dibenzoate"
1020409-50-0,CASRN,DTXSID201019575,"1,2,3,6,7,11b-Hexahydro-4H-pyrazino[2,1-a]isoquinolin-4-one diphosphate",OP(O)([O-])=O.OP(O)([O-])=O.O=C1C[NH2+]CC2[NH+]1CCC1=C2C=CC=C1,1020409-50-0,BUZCACCCBBEPBP-UHFFFAOYSA-N,"InChI=1/C12H14N2O.2H3O4P/c15-12-8-13-7-11-10-4-2-1-3-9(10)5-6-14(11)12;2*1-5(2,3)4/h1-4,11,13H,5-8H2;2*(H3,1,2,3,4)
","4-Oxo-1,3,4,6,7,11b-hexahydro-2H-pyrazino[2,1-a]isoquinoline-2,5-diium bis(dihydrogen phosphate)"
93763-33-8,CASRN,DTXSID601027334,"Hydrocarbons, C6-11, hydrotreated, dearomatized",N/A,93763-33-8,N/A,N/A,N/A
894-86-0,CASRN,DTXSID3061269,"[2,2'-Bi-1H-indole]-3,3'-diol, disodium salt",[Na+].[Na+].[O-]C1=C(NC2=CC=CC=C12)C1=C([O-])C2=CC=CC=C2N1,894-86-0,CMSRLFLXFXUENW-UHFFFAOYSA-L,"InChI=1S/C16H12N2O2.2Na/c19-15-9-5-1-3-7-11(9)17-13(15)14-16(20)10-6-2-4-8-12(10)18-14;;/h1-8,17-20H;;/q;2*+1/p-2
","Disodium 1H,1'H-[2,2'-biindole]-3,3'-bis(olate)"
