"Fragment","Sum(True Positives)","Sum(False Positives)"
"N(-c1:c:c:c(:c:c:1)-N)(-C)-C",41.0,1.0
"Cl-C-C=O",40.0,3.0
"O1-C(-C-1)-C-O-C",34.0,3.0
"N(-C)=C=O",30.0,2.0
"Cl-c1:n:c:n:c:n:1",34.0,4.0
"Cl-C-c1:c:c:c:c:c:1",22.0,1.0
"Br-C-C=O",17.0,0.0
"N(-O-C)=C",17.0,0.0
"O(-O-C)-C=O",21.0,2.0
"N(-O)(-c1:c:c(:c:c:c:1)-N(-O)=O)=O",19.0,2.0
"S(-C=O)-C",15.0,1.0
"O-c1:c(:c:c:c(:c:1)-C)-O",36.0,7.0
"O(-C(-C=C)=O)-C-C-O",25.0,4.0
"O1-C(-C-C-C-1=O)=O",14.0,1.0
"P(-S-C)-O-C-C",10.0,0.0
"N1-C(-C=C-C-1)=O",9.0,0.0
"N-C1-C-C(-C-C-C-1)-C",9.0,0.0
"n1:c(:n:c:c:c:1)-N-C",8.0,0.0
"O(-C1-C-C-C-C-C-1)-C(-C=C)=O",8.0,0.0
"N1-C(-C-C-C(-C-1)-C)-C",8.0,0.0
"Cl-C-O-C",8.0,0.0
"O(-c1:c:c:c:c:c:1)-C-C(-O-C)=O",7.0,0.0
"Cl-c1:c(:c:c:c:c:1)-F",7.0,0.0
"s1:n:c:c:c:1",7.0,0.0
"O(-c1:c:c:c(:c:c:1)-C-C)-c1:c:c:c:c:c:1",7.0,0.0
"Br-c1:c(:c:c:c:c:1)-C",6.0,0.0
"S(-N-C)-N",6.0,0.0
"N(-c1:c(:c:c:c:c:1)-N=N-C)-C",9.0,1.0
"O(-C(-C1-C-C-1)=O)-C",9.0,1.0
"n1(:n:c:n:c:1)-C",9.0,1.0
"N(-c1:c2:c(:c(:c:c:1)-N=N-c1:c:c:c:c:c:1):c:c:c:c:2)=N-c1:c:c:c:c:c:1",5.0,0.0
"N-c1:c(:c:c(:c:c:1)-C-c1:c:c(:c(:c:c:1)-N)-C)-C",5.0,0.0
"O(-C(-C(-C=O)=C-c1:c:c:c:c:c:1)=O)-C",5.0,0.0
"N(-C(-C)-C)-C-C-c1:c:c:c:c:c:1",6.0,0.0
"O(-C(-C=C)=O)-C-C-C-O-C(-C=C)=O",5.0,0.0
"O1-C(-c2:c(-C-1=O):c:c:c(:c:2)-C)=O",5.0,0.0
"N(-c1:c:c:c(:c:c:1)-N=N-C)-C=O",5.0,0.0
"Cl-S(-c1:c:c:c:c:c:1)(=O)=O",5.0,0.0
"S(-c1:c:c(:c(:c:c:1)-O)-C)-C",5.0,0.0
"O1-C(-C-1)-c1:c:c:c:c:c:1",5.0,0.0
"N(-C-C-C-O-C)(-C-C-C)-C-C",8.0,0.0
"Br-C-c1:c:c:c:c:c:1",5.0,0.0
"Cl-c1:n:c:c:c:c:1-Cl",5.0,0.0
"N1(-C-C-C(-C-C-1)-N)-C",5.0,0.0
"N1(-C-O-C-C-1)-C-C-O",5.0,0.0
"[Si](-O-C-C)(-C-C)(-C)-C",5.0,0.0
"Cl-c1:c:n:c:n:c:1",5.0,0.0
"O(-C-C#C)-C=O",5.0,0.0
"N1(-C-C-N-C-C-1)-C-c1:c:c:c:c:c:1",5.0,0.0
"O1-C2-C-1-C-C-C(-C-2)-C-O-C-C-C",5.0,0.0
"N(-c1:c:c:c(:c:c:1)-c1:c:c:c:c:c:1)=N-c1:c:c:c:c:c:1",4.0,0.0
"N(-C1-C-C-C(-C-C-1)-C-C1-C-C-C(-C-C-1)-N-C)-C",4.0,0.0
"O-c1:c(:c:c:c:c:1)-C(-C-C-C-C-C-C-C)-C",4.0,0.0
"O(-c1:c(:c:c(:c:c:1)-C)-C(-C-C)-C)-C",4.0,0.0
"S(-O)(-c1:c:c:c(:c:c:1)-O-C)(=O)=O",4.0,0.0
"O(-C(-C=C)=O)-C-C-C-C-O-C=O",4.0,0.0
"Cl-c1:c(:c:c:c:c:1)-O-C-C-C",4.0,0.0
"S=C(-N-C)-N-C",5.0,0.0
"O=C1-C(-C(-C-C-C-1)=O)-C(-C)=O",4.0,0.0
"P(-C(-c1:c:c:c:c:c:1)=O)(-C)=O",4.0,0.0
"N(-C-C-N-C-C-N)-C-C-N",4.0,0.0
"Cl-c1:c(:c:c(:c:c:1)-O)-C",4.0,0.0
"N#C-c1:c:c:c(:c:c:1)-O",4.0,0.0
"N(-C)=C-C(-C-O-C-C)-C",4.0,0.0
"O(-C-C(-C(-O)=O)-C)-C",8.0,1.0
"P(-O)(-O)(-C-P(-O)(-O)=O)=O",4.0,0.0
"Cl-c1:n:c:n:c(:c:1)-Cl",4.0,0.0
"N1(-C-C-O-C-C-1)-C=O",4.0,0.0
"n1(:c:c:c:c:c:1)-O",4.0,0.0
"Cl-C-C-N",4.0,0.0
"S-C(-C)(-C)-C",7.0,1.0
"N(-C-C-C-N-C)-C-C-C-C-C-C-C-C-C",7.0,1.0
"S1-C2-N(-C(-C-2-N)=O)-C(=C(-C-1)-C)-C(-O)=O",7.0,1.0
"S(-C=C)-C",8.0,1.0
"O-c1:c2-C(-c3:c(-C(-c:2:c:c:c:1)=O):c:c:c:c:3)=O",6.0,1.0
"s1:c(:n:c2:c:1:c:c:c:c:2)-S",6.0,1.0
"P(-O-C)(-O-C)(-O)=S",6.0,1.0
"O=C-C-C-c1:c:c:c(:c:c:1)-C-C",5.0,1.0
"O(-C-c1:c:c:c:c:c:1)-C-C=C",5.0,1.0
"N(-O)(-c1:c(:c:c:c:c:1)-N-C)=O",5.0,1.0
"[Si](-O-C-C)(-O-C-C)-C-C-C-N",5.0,1.0
"n1:c:c(:c:c:c:1)-C-O-C",5.0,1.0
"O=C-C-C-C-C-C=C-C-C",11.0,2.0
"N(-C-C)=N-C-C",5.0,1.0
"O(-C(-C-C(-C-C)-C)=O)-C-C-C-C-C-C-C-C-C",4.0,1.0
"O(-C-C1-C-C-C-C-C-1)-C-C=C",4.0,1.0
"s1:c(:n:c(:c:1)-C)-N",4.0,1.0
"P-C-C-C-C-C",4.0,1.0
"O(-c1:c:c:c(:c:c:1)-O-C)-C(-c1:c:c:c(:c:c:1)-O-C-C)=O",4.0,1.0
"N(-c1:c:c:c(:c:c:1)-C-c1:c:c:c(:c:c:1)-N-C-C)-C-C",4.0,1.0
"S(-C=S)-C",5.0,1.0
"n1(:c(:n(:c(:n(:c:1=O)-C-C)=O)-C-C)=O)-C-C",4.0,1.0
"n1:c2:c(:c3:c:1:c:c:c:c:3):c:c:c:c:2",4.0,1.0
"N1(-C(-c2:c(-C-1=O):c:c:c:c:2)=O)-C",4.0,1.0
"S(-O)(-c1:c(:c(:c:c:c:1)-N)-O)(=O)=O",4.0,1.0
"F-C(-F)-c1:c:c:c(:c:c:1)-C",4.0,1.0
"N1(-C(-C-C-C-1=O)=O)-O-C=O",4.0,1.0
"n1:c(:n:c:n:c:1-C)-O-C",4.0,1.0
"[Si](-O-C)(-O-C)-C-C-C-S",4.0,1.0
"O=C1-C-C-C-C=C-1-C",4.0,1.0
"s1:c:n:n:c:1",4.0,1.0
"N-O-C-C-C",4.0,1.0
