INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,CASRN,INCHIKEY,INCHI_STRING,IUPAC_NAME
1655500-83-6,CASRN,DTXSID40889316,"Cyclopropanemethanol, 2-(1,4-dimethyl-3-penten-1-yl)-1-methyl-",CC(CC=C(C)C)C1CC1(C)CO,1655500-83-6,FZLOGXXTGWFQFP-UHFFFAOYSA-N,"InChI=1/C12H22O/c1-9(2)5-6-10(3)11-7-12(11,4)8-13/h5,10-11,13H,6-8H2,1-4H3
",[1-Methyl-2-(5-methylhex-4-en-2-yl)cyclopropyl]methanol
109-88-6,CASRN,DTXSID50890493,"Methanol, magnesium salt (2:1)",[Mg++].C[O-].C[O-],109-88-6,CRGZYKWWYNQGEC-UHFFFAOYSA-N,"InChI=1S/2CH3O.Mg/c2*1-2;/h2*1H3;/q2*-1;+2
",Magnesium dimethoxide
120944-67-4,CASRN,DTXSID601065825,"Alcohols, C14-15-branched and linear",N/A,120944-67-4,N/A,N/A,N/A
77-78-1,CASRN,DTXSID5024055,Dimethyl sulfate,COS(=O)(=O)OC,77-78-1,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3
",Dimethyl sulfate
2082-81-7,CASRN,DTXSID4044870,"Butane-1,4-diyl bis(2-methylprop-2-enoate)",CC(=C)C(=O)OCCCCOC(=O)C(C)=C,2082-81-7,XOJWAAUYNWGQAU-UHFFFAOYSA-N,"InChI=1S/C12H18O4/c1-9(2)11(13)15-7-5-6-8-16-12(14)10(3)4/h1,3,5-8H2,2,4H3
","Butane-1,4-diyl bis(2-methylprop-2-enoate)"
75-33-2,CASRN,DTXSID1025481,Isopropyl mercaptan,CC(C)S,75-33-2,KJRCEJOSASVSRA-UHFFFAOYSA-N,"InChI=1S/C3H8S/c1-3(2)4/h3-4H,1-2H3
",Propane-2-thiol
16958-92-2,CASRN,DTXSID9027786,Bis(tridecyl) adipate,CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,16958-92-2,LZJUZSYHFSVIGJ-UHFFFAOYSA-N,"InChI=1S/C32H62O4/c1-3-5-7-9-11-13-15-17-19-21-25-29-35-31(33)27-23-24-28-32(34)36-30-26-22-20-18-16-14-12-10-8-6-4-2/h3-30H2,1-2H3
",Ditridecyl hexanedioate
17438-89-0,CASRN,DTXSID3029314,"1-Decene, dimer",N/A,17438-89-0,N/A,N/A,N/A
503157-00-4,CASRN,DTXSID801019678,Disodium polyamino-{[4-(ethenylsubstituted)phenyl]diazenyl}-{[4-(ethenylsubstituted)- sulfonatophenyl]diazenyl}benzenesulfonate,N/A,503157-00-4,N/A,N/A,N/A
4156-21-2,CASRN,DTXSID4063325,"Sodium p-((4,6-dichloro-1,3,5-triazin-2-yl)amino)benzenesulphonate",[Na+].[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1,4156-21-2,BAINTIMFWTXLNC-UHFFFAOYSA-M,"InChI=1S/C9H6Cl2N4O3S.Na/c10-7-13-8(11)15-9(14-7)12-5-1-3-6(4-2-5)19(16,17)18;/h1-4H,(H,16,17,18)(H,12,13,14,15);/q;+1/p-1
","Sodium 4-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]benzene-1-sulfonate"
14024-48-7,CASRN,DTXSID50893247,Cobalt(II) bis(acetylacetonate),CC1=[O][Co++]2([O]=C(C)[CH-]1)[O]=C(C)[CH-]C(C)=[O]2,14024-48-7,BKFAZDGHFACXKY-UHFFFAOYSA-N,"InChI=1S/2C5H7O2.Co/c2*1-4(6)3-5(2)7;/h2*3H,1-2H3;/q2*-1;+2
","Bis(pentane-2,4-dionato-kappa~2~O~2~,O~4~)cobalt"
16891-37-5,CASRN,DTXSID50893444,Magnesium ethyl carbonate,[Mg++].CCOC([O-])=O.CCOC([O-])=O,16891-37-5,HONQAQNYJBKAMA-UHFFFAOYSA-L,"InChI=1S/2C3H6O3.Mg/c2*1-2-6-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2
",Magnesium bis(ethyl carbonate)
85116-58-1,CASRN,DTXSID701027375,"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction RN: 85116-58-1",N/A,85116-58-1,N/A,N/A,N/A
106-26-3,CASRN,DTXSID60881216,"(2Z)-3,7-dimethylocta-2,6-dienal",CC(C)=CCC\C(C)=C/C=O,106-26-3,WTEVQBCEXWBHNA-YFHOEESVSA-N,"InChI=1S/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-
","(2Z)-3,7-Dimethylocta-2,6-dienal"
521284-22-0,CASRN,DTXSID901045084,"Benzenemethanol, alpha-[[[2-(4-aminophenyl)ethyl]amino]methyl]-, hydrochloride (1:1), (alphaR)-",Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1,521284-22-0,QILVTBCJVNFIDP-RDZNSINMNA-N,"InChI=1/C16H20N2O.ClH/c17-15-8-6-13(7-9-15)10-11-18-12-16(19)14-4-2-1-3-5-14;/h1-9,16,18-19H,10-12,17H2;1H/t16-;/s2
",N/A
159325-45-8,CASRN,DTXSID60717849,"(2alpha,3alpha,8xi,9xi,14xi,16beta)-16-(Pyrrolidin-1-yl)-2,3-epoxyandrostan-17-one",C[C@]12CCC3C(CCC4C[C@@H]5O[C@@H]5C[C@]34C)C1C[C@H](N1CCCC1)C2=O,159325-45-8,ZZMJTNMGPPBIOY-AKQZMSGPSA-N,"InChI=1S/C23H35NO2/c1-22-8-7-16-15(6-5-14-11-19-20(26-19)13-23(14,16)2)17(22)12-18(21(22)25)24-9-3-4-10-24/h14-20H,3-13H2,1-2H3/t14?,15?,16?,17?,18-,19-,20+,22-,23-/m0/s1
","(9xi,14xi)-16beta-(Pyrrolidin-1-yl)-2alpha,3alpha,8xi-2,3-epoxyandrostan-17-one"
12054-48-7,CASRN,DTXSID90274011,Nickel hydroxide (Ni(OH)2),[OH-].[OH-].[Ni++],12054-48-7,BFDHFSHZJLFAMC-UHFFFAOYSA-L,"InChI=1S/Ni.2H2O/h;2*1H2/q+2;;/p-2
",Nickel(2+) dihydroxide
