SMILES,Activity
CC(=O)CC(=O)NC1=CC(Cl)=CC=C1OC,0
CC1=NN2C(=NC3C=CC=CC=3C2=O)C1N=NC1C=CC(Cl)=CC=1[N+]([O-])=O,0
CCCCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCCCC)C(=O)C1C=CC=CC=1C(O)=O,0
ClC1C=C(C=CC=1)OC1C=CC(Cl)=CC=1,0
OCCN1CCN(CCS(O)(=O)=O)CC1,0
S=C(NC1C=CC=CC=1)NC1C=CC=CC=1,1
CCCCC1NC(=O)C2(CCCC2)N=1,0
CC1C=CC(=CC=1[N+]([O-])=O)S(C)(=O)=O,1
C=CSCCO,1
CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,0
C=CCCC(=O)Cl,0
OS(=O)(=O)C1C=C(C=CC=1)N=NC1C=CC(=CC=1)NC1C=CC=CC=1,1
BrCCCCCCBr,1
CC(Br)C(=O)Br,1
CC1=CC=C(C=C1)S(=O)(=O)OCC1CO1,1
CC(CC(C1=CC(=C(O)C=C1C)C(C)(C)C)C1=CC(=C(O)C=C1C)C(C)(C)C)C1=CC(=C(O)C=C1C)C(C)(C)C,1
CC(=C)C(=O)OCCCCCC,1
NC1CC1,1
O=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,0
CC1C(=O)C(O)CC(C)(C)C=1C=CC(C)=CCP(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,1
CC(CC(=O)OC)=NC(C1C=CC(O)=CC=1)C(O)=O,0
COC(=O)CC(=C)C(=O)OC,1
O=C1N=C(C2C1=C(NC2=O)C1C=CC(=CC=1)C1C=CC=CC=1)C1C=CC(Cl)=CC=1,0
CC(C)(C)OC(=O)C1=CC=CC=C1C1C=CC(CBr)=CC=1,1
COC1NC(N=C(N=1)C(F)(F)F)=NC(O)=NS(=O)(=O)C1=CC=CC=C1C(F)(F)F,1
CC1C=CC(=CC=1[N+]([O-])=O)C(=O)NC1C=CC(=CC=1)S(O)(=O)=O,0
NCCN,1
COC1N=C(N=C(N=1)OC)C1=C(O)N(C2C1=CC=CC=2F)S(=O)(=O)C(F)F,1
CC12CCC3C(CCC4C=C(O)C=CC=43)C1CCC2=O,0
CN1C(=NC(C(=O)NCC2C=CC(F)=CC=2)C(=O)C1=O)C(C)(C)N,0
COC(C)CCOC(C)=O,0
C[Si](CCCS)(OC)OC,1
CCO[Si](CCCNC=O)(OCC)OCC,1
CC(C)(CC(C)(C)C)C1C=C(O)C(=CC=1O)C(C)(C)CC(C)(C)C,1
COC(OC)C1=CC=CC=C1[N+]([O-])=O,1
CC(=O)C(=CC1=CC=CC=C1[N+]([O-])=O)C(=O)OC,1
OS(=O)(=O)C1=CC2C=C(C=C(NC3=NC(NC4C=CC(=CC=4)NC4=NC(NC5=CC(=CC6=CC(=C(N=NC7C=CC=CC=7S(O)(=O)=O)C(O)=C65)S(O)(=O)=O)S(O)(=O)=O)=NC(Cl)=N4)=NC(Cl)=N3)C=2C(O)=C1N=NC1C=CC=CC=1S(O)(=O)=O)S(O)(=O)=O,1
CC(C)C(=O)OCCOC1C=CC=CC=1,0
CC1C=CC(=CC=1)C(=O)CC(=O)C(F)(F)F,1
CCCCC(COS(O)(=O)=O)CC,0
CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,0
CC1(C)OC(CO1)COC(=O)C=C,1
C=CCS(O)(=O)=O,0
CS,0
O=C(OCC1CO1)C1CC=CCC1C(=O)OCC1CO1,1
CO[Si](CCCOC(=O)C=C)(OC)OC,1
CC(C)COC(=O)OC1C=C(C(F)=CC=1Cl)[N+]([O-])=O,1
CC(C)C1CCC(C)CC1C(=O)NC1C=CC(=CC=1)OC,0
CCCCCCCCNC(=O)NC1C=CC(CC2C=CC(=CC=2)NC(=O)NCCCCCCCC)=CC=1,0
COC(=O)C1C=CC(=CC=1N)C(=O)NC1=CC(Cl)=CC=C1Cl,0
CNC1C=CC=CC=1C(=O)OC,0
CC12CCC3C(=CC=C4CC5(CCC43C)OCCO5)C1CCC2C1(C)OCCO1,0
CCCCCCC=O,0
CC(=O)CC(=O)NC1C=CC=CC=1C,0
CC1C=C(N=NC2C(=CC3C=C(C=CC=3C=2O)NC2=CC=CC=C2)S(O)(=O)=O)C(=CC=1N=NC1=CC2C(=CC=CC=2C(=C1)S(O)(=O)=O)S(O)(=O)=O)OC,1
CCN(CC1C=C(C=CC=1)S(O)(=O)=O)C1C=CC(=CC=1)C(C1C=CC(O)=CC=1S(O)(=O)=O)=C1C=CC(C=C1)=[N+](CC1C=C(C=CC=1)S(O)(=O)=O)CC,0
CC(=C)O[Si](C=C)(OC(C)=C)OC(C)=C,0
CC(C)(C)C1=CC=C(C=C1)OC1CCCCC1OS(=O)OCC#C,1
COC1CCC2(CC1)NC(=O)NC2=O,0
NC1C=C(Cl)C=CC=1OC1C=CC(Cl)=CC=1Cl,0
CCCC(=O)OC(CC(=O)OCCCCCC)(CC(=O)OCCCCCC)C(=O)OCCCCCC,0
CC1=CC2NCCOC=2C=C1,1
CC1C2CC3CC1CC(C2O)C3=C,1
CC(C)CC1=NC(=O)NC1=O,1
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCCC,1
COC(=O)C(=CC1C=CC=C2OC(F)(F)OC=12)C#N,0
CC(=O)C(N=NC1C=C(C=CC=1Cl)C(=O)NC1=CC(Cl)=CC=C1C)C(=O)NC1=CC(Cl)=C(C=C1Cl)NC(=O)C(N=NC1C=C(C=CC=1Cl)C(=O)NC1=CC(Cl)=CC=C1C)C(C)=O,0
CCOC1C=CC(=CC=1)C1N=C(N=C(N=1)C1C=CC=CC=1O)C1C=CC=CC=1,0
[O-][N+](=O)C1=CC(=CC=C1)NC(=O)C1=CC2C=CC=CC=2C=C1O,1
OS(=O)(=O)C1=CC2C3NC(=NC4=NC(=NC5NC(N=C6N=C(N=3)C3C=CC(=CC=36)S(O)(=O)=O)=C3C=CC(=CC3=5)S(O)(=O)=O)C3C=CC(=CC=34)S(O)(=O)=O)C=2C=C1,1
CC12CCC3C(CCC4CC5OC5CC43C)C1CC(C2=O)N1CCCC1,1
CC(=C)CCOC(=O)C(C)=C,1
CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2C(O1)=C(C)C(C)=C(OC(=O)C1=CN=CC=C1)C=2C,1
CCCCCCCCCCCCCCCCCCOC=C,1
COB(CC)CC,1
CC(CCO)CCC1C=CC=CC=1,0
[O-][N+](=O)C1C2C1C(=O)N(CC1C=CC=CC=1)C2=O,1
CC1=CC(=O)NS(=O)(=O)O1,0
CC(=O)OC1CCC(CC1)C(C)(C)C,1
N#CCCNCCCCCCNCCC#N,1
OC1N=C(Cl)C(Cl)=CC=1Cl,1
CC(=O)NC1=CC(=CC2=CC(=C(N=NC3C=C(C=CC=3S(O)(=O)=O)NC3=NC(Cl)=NC(NC4C=C(C=CC=4)S(=O)(=O)CCOS(O)(=O)=O)=N3)C(O)=C12)S(O)(=O)=O)S(O)(=O)=O,1
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,0
CN(CCO)C1N=C(NC2C=C(C(C=CC3C=CC(=CC=3S(O)(=O)=O)NC3=NC(=NC(NC4C=CC=CC=4)=N3)N(C)CCO)=CC=2)S(O)(=O)=O)N=C(NC2C=CC=CC=2)N=1,0
CCCCCCCCCCCCCCCCBr,0
CN1CCNCC1,1
CN1N=C(C(F)F)C(=C1F)C(=O)N(CC1=CC(Cl)=CC=C1C(C)C)C1CC1,1
CSC1C=CC(=CC=1)C(=O)C(C)(C)N1CCOCC1,0
CCCCCCCCCCCCOC(=O)C(C)O,0
C[N+](C)(C)CC1C=CC=CC=1,0
N#CC(C1C=CC=CC=1)C1C=CC=CC=1,0
CCCCNC(=O)C1C=CC=CC=1C(=O)N1CCOCC1,1
CC(C)=O,0
CCCC(=O)OCCC(C)C,1
CCOC(=O)CC(NCCC[Si](OC)(OC)OC)C(=O)OCC,0
CC1N=C(CCC)N2NC(=NC(=O)C2=1)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC1)CC,0
CC1(C)C(O)C(C)(C)C1O,0
CC(CO)(CO)CO,0
OS(=O)(=O)CCCN1CCOCC1,0
CCC(O)COC1CCCCC1C(C)(C)C,0
CC(C)(C1=CC(CC=C)=C(O)C=C1)C1C=C(CC=C)C(O)=CC=1,1
CC(O)COC(=O)C=C,1
CC1CC2C3CCC4=CC(=O)C=CC4(C)C43OC4CC2(C)C1(O)C(=O)CO,0
COC1=CC2C(CC#N)=CC=CC=2C=C1,0
COC(=O)NC1NC2=CC=CC=C2N=1,1
C[N+](C)(C)CC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
OC1C=C(O)N=CN=1,0
OC(=O)CCC(C(O)=O)N(CC(O)=O)CC(O)=O,0
CC1(C)OCC(N)C(O)CO1,1
CNC1=NC(=CC=C1N)OC,1
CC1(C)CC(O)CC(C)(C)N1,1
COC1=CC=C(C=C1C(=O)NCCN(CC)CC)S(C)(=O)=O,1
C[N+](C)(C)C1=CC2C(N=NC3C=C(C(N)=CC=3)[N+]([O-])=O)=C(O)C=CC=2C=C1,0
OC(COC1CCCCC1)CO,0
C1C2CCC1C=C2,0
CCCCCCCCCCCCC1C=CC(=CC=1)[I+]C1C=CC(CCCCCCCCCCCC)=CC=1,1
CC(=O)C=CC1C=CC=CC=1,1
OC(=O)CBr,1
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0
CC(O[Si](C)(C)C(C)(C)C)C1C2SC(SCCC)=C(C(=O)OCC=C)N2C1=O,1
CC(=C)CCl,1
CC(=C)C(O)=O,1
CC(C)=CC=CC(C)=CC,1
CCOC(OCC)OCC,0
CC1(C)CC(CC(C)(C1)CNCCC#N)NCCC#N,1
CCCCCC1=CCCC1=O,1
OC(=O)CCCCCNC1N=C(NCCCCCC(O)=O)N=C(NCCCCCC(O)=O)N=1,0
OC1=C2N=CC=CC2=C(I)C=C1I,0
CC1=CCC(CC1=O)C(C)=C,1
[O-][N+](=O)C1=CC2C(=CC(O)=C(N=NC3C4C=CC=CC=4C=CC=3O)C=2C=C1)S(O)(=O)=O,1
CC(=O)ON1C=CC=CC1=O,1
CC1=NN(C)C(OC2C=CC=CC=2)=C1C=NOCC1=CC=C(C=C1)C(=O)OC(C)(C)C,1
NC1C=C(C=C(C=1O)[N+]([O-])=O)S(O)(=O)=O,1
CCN(CC1C=CC=CC=1)C1C=CC(=CC=1)N=NC1SN=C2C=CC(=CC2=1)[N+]([O-])=O,1
CCCOCCN(C(=O)CCl)C1C(CC)=CC=CC=1CC,1
COC1C=CC(=CC=1)C(Cl)(C1C=CC=CC=1)C1C=CC(=CC=1)OC,1
BrC(Br)Br,1
[O-]S(=O)(=O)CCC[N+]1C=CC=CC=1,0
CC(C)(O)CCCC1CCC(CC=1)C=O,1
CC(C)(C)CC(C)(C)CC(O)=O,0
COC(=O)OC,0
CC(C)(O)C1C=C(C=CC=1)C(C)(C)O,0
CC1(C)CC2(CC(C)(C)N1)OC1(CCCCCCCCCCC1)NC2=O,0
OC1=CC=C(C=C1)OCC1C=CC=CC=1,1
CC(=O)C1C=CC(O)=CC=1,0
NC(=O)C1C(F)=CC=CC=1F,0
CCCCCCCCCCCCCCCCOP(O)(O)=O,1
CC(C)=CCCC(C)=O,0
C(OC1=CC2=CC=CC=C2C=C1)C1C=CC=CC=1,0
CC1=C(C(C)=C(NC2N=C(Cl)N=C(NC3C=C(C=CC=3)S(O)(=O)=O)N=2)C(C)=C1NC1C=C(C(N)=C2C=1C(=O)C1C=CC=CC=1C2=O)S(O)(=O)=O)S(O)(=O)=O,1
NS(=O)(=O)C1N=CC=CC=1OCC(F)(F)F,0
C=CC(=O)OCCCCOC(=O)OC1C=C2C=CC(=CC2=CC=1)C(O)=O,1
CC(C=C)C#N,0
CC1C=CC=C(C)C=1OP(=O)(OC1C=CC(=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C(C)=CC=CC=1C)OC1C(C)=CC=CC=1C)OC1C(C)=CC=CC=1C,0
COC1C=C(C=C(OC)C=1OC)C=C(C(C)=O)C(C)=O,0
CC(=O)OC1C2CC3CC(CC1C3=C)C2C,1
NC1=CC(=CC=C1O)S(O)(=O)=O,0
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1
